"sample","stage","celltype","count","proportion"
"ACom_RR","Ruptured_recurrent","EC",70,0.00973033083124826
"ACom_RR","Ruptured_recurrent","Fibroblast",635,0.0882680011120378
"ACom_RR","Ruptured_recurrent","Macrophage",2407,0.33458437586878
"ACom_RR","Ruptured_recurrent","Other",1154,0.160411453989436
"ACom_RR","Ruptured_recurrent","T_NK",1920,0.266889074228524
"ACom_RR","Ruptured_recurrent","VSMC",1008,0.140116763969975
"MCA_R1","Ruptured_de_novo","EC",34,0.00730554361839278
"MCA_R1","Ruptured_de_novo","Fibroblast",1010,0.217017619252256
"MCA_R1","Ruptured_de_novo","Macrophage",1356,0.2913622690159
"MCA_R1","Ruptured_de_novo","Other",1418,0.30468414267297
"MCA_R1","Ruptured_de_novo","T_NK",297,0.0638160721959605
"MCA_R1","Ruptured_de_novo","VSMC",539,0.115814353244521
"MCA_R2","Ruptured_de_novo","EC",575,0.0580925439482724
"MCA_R2","Ruptured_de_novo","Fibroblast",1178,0.119013942210548
"MCA_R2","Ruptured_de_novo","Macrophage",3573,0.360982016569004
"MCA_R2","Ruptured_de_novo","Other",2723,0.275106082036775
"MCA_R2","Ruptured_de_novo","T_NK",460,0.0464740351586179
"MCA_R2","Ruptured_de_novo","VSMC",1389,0.140331380076783
"PICA_U","Unruptured","EC",2,0.02
"PICA_U","Unruptured","Fibroblast",22,0.22
"PICA_U","Unruptured","Macrophage",5,0.05
"PICA_U","Unruptured","Other",65,0.65
"PICA_U","Unruptured","VSMC",6,0.06
"STA1","STA","EC",1234,0.132148211608481
"STA1","STA","Fibroblast",418,0.0447633326194046
"STA1","STA","Macrophage",289,0.0309488113086314
"STA1","STA","Other",3099,0.331869779396016
"STA1","STA","T_NK",13,0.00139216106232598
"STA1","STA","VSMC",4285,0.45887770400514
"STA2","STA","EC",1206,0.0938959825599502
"STA2","STA","Fibroblast",876,0.06820305200872
"STA2","STA","Macrophage",1452,0.113048894425413
"STA2","STA","Other",3768,0.293366552475864
"STA2","STA","T_NK",1153,0.089769542198692
"STA2","STA","VSMC",4389,0.341715976331361
"STA3","STA","EC",2608,0.525488615756599
"STA3","STA","Fibroblast",17,0.00342534757203304
"STA3","STA","Macrophage",362,0.072939754180939
"STA3","STA","Other",1921,0.387064275639734
"STA3","STA","VSMC",55,0.0110820068506951
