"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","target_gene","source"
"GO:0050863","regulation of T cell activation","14/137","393/18986",0.0356234096692112,4.93683252539886,6.72341482991295,9.91638704491212e-07,0.00252173722552115,0.00215759705492983,"10808/6046/1236/7040/864/6655/814/673/399/923/1604/3659/4092/7805",14,"SIRT1","GO_BP"
"GO:0031396","regulation of protein ubiquitination","10/137","205/18986",0.0487804878048781,6.76019227345558,7.06929299003941,2.41130808401642e-06,0.00306597822882688,0.00262324937350629,"3320/3301/1407/330/3304/65125/4092/83593/3303/7805",10,"SIRT1","GO_BP"
"GO:0006401","RNA catabolic process","13/137","412/18986",0.0315533980582524,4.37279427397066,5.90074933886166,9.18182289303142e-06,0.00395587391907219,0.00338464366195013,"56829/3304/246175/3183/22882/7503/26986/10865/3669/23112/27161/55544/3303",13,"SIRT1","GO_BP"
"GO:0045580","regulation of T cell differentiation","9/137","191/18986",0.0471204188481675,6.53013337409715,6.54866163517134,1.03465553170478e-05,0.00395587391907219,0.00338464366195013,"6046/7040/864/6655/814/673/399/3659/4092",9,"SIRT1","GO_BP"
"GO:0046631","alpha-beta T cell activation","9/137","196/18986",0.0459183673469388,6.36354833904365,6.43484768974659,1.27285666372755e-05,0.00395587391907219,0.00338464366195013,"10808/6046/864/673/1604/3659/4092/919/6775",9,"SIRT1","GO_BP"
"GO:1903320","regulation of protein modification by small protein conjugation or removal","10/137","248/18986",0.0403225806451613,5.58806216152578,6.2003319840585,1.29567022155353e-05,0.00395587391907219,0.00338464366195013,"3320/3301/1407/330/3304/65125/4092/83593/3303/7805",10,"SIRT1","GO_BP"
"GO:0007159","leukocyte cell-cell adhesion","13/137","430/18986",0.0302325581395349,4.18974707180445,5.70387133532603,1.44562477546639e-05,0.00395587391907219,0.00338464366195013,"10808/6046/1236/7040/7430/864/399/923/1604/65125/3659/4092/7805",13,"SIRT1","GO_BP"
"GO:1901873","regulation of post-translational protein modification","10/137","253/18986",0.0395256916996047,5.47762615042843,6.11259823110691,1.5401376289219e-05,0.00395587391907219,0.00338464366195013,"3320/3301/1407/330/3304/65125/4092/83593/3303/7805",10,"SIRT1","GO_BP"
"GO:0045785","positive regulation of cell adhesion","14/137","499/18986",0.0280561122244489,3.8881266181999,5.57384270275656,1.54397401754033e-05,0.00395587391907219,0.00338464366195013,"10808/6046/1236/7040/864/288/673/9806/399/923/1604/2043/4092/6789",14,"SIRT1","GO_BP"
"GO:1903706","regulation of hemopoiesis","13/137","433/18986",0.0300230946882217,4.16071880109911,5.67210370724846,1.55559336180582e-05,0.00395587391907219,0.00338464366195013,"6046/7994/7040/3304/864/6655/814/673/399/3659/23186/4092/3303",13,"SIRT1","GO_BP"
"GO:0141188","nucleic acid catabolic process","13/137","441/18986",0.0294784580498866,4.08524090901567,5.58877189485483,1.88560774507381e-05,0.00435918226883881,0.00372971407566274,"56829/3304/246175/3183/22882/7503/26986/10865/3669/23112/27161/55544/3303",13,"SIRT1","GO_BP"
"GO:0030217","T cell differentiation","11/137","320/18986",0.034375,4.76382299270073,5.78895237226766,2.10842111387694e-05,0.00446809574382422,0.00382290038805582,"6046/1236/7040/864/6655/814/673/399/3659/4092/6775",11,"SIRT1","GO_BP"
