"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"PLA2G2A",0,16.57734177833,0.761,0,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CXCL14",0,13.0528588681603,0.805,0.001,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CILP",0,12.3335323041366,0.502,0,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"ADH1B",0,12.2791029024403,0.827,0.001,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"VIT",0,11.6775033536622,0.766,0.001,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CFD",0,10.3994478680707,0.943,0.025,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"ABCA9",0,9.93153354666863,0.591,0.001,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"GPC3",0,9.84988034846172,0.512,0.002,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CCN5",0,9.56942206341698,0.812,0.005,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"HBB",0,-9.47293938183868,0.031,0.664,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"SLPI",0,9.22571082057748,0.608,0.002,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"HBA2",0,-9.20879012345203,0.014,0.605,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"HBA1",0,-8.77147813379452,0.007,0.401,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"APOD",0,8.59469227400279,0.962,0.036,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"C3",0,8.54568556313126,0.855,0.005,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"AOX1",0,8.49836274537498,0.502,0.003,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"IGF1",0,8.43916620910836,0.68,0.003,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"GALNT15",0,8.19015499842405,0.644,0.005,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"RAMP2",0,7.91736675524101,0.565,0.002,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"NOVA1",0,7.88804056579838,0.736,0.005,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"PODN",0,7.73315249451662,0.774,0.004,0,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
