"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0140053","mitochondrial gene expression","107/4354","169/18986",0.633136094674556,2.76084563470168,12.542586699445,2.38032140573605e-29,1.49031923213134e-25,1.27936011554613e-25,"57570/3028/55168/51116/79590/51253/64976/51642/28958/51069/28973/84545/65003/51073/64949/54948/51250/10573/51001/10922/9801/51373/7284/285367/84311/6150/26589/57215/64981/51081/29088/51650/64963/79736/26995/63931/6182/51649/51318/80298/65080/6472/64978/6183/51021/10102/56945/79072/51264/64979/51204/29093/3396/7019/64969/51258/55173/64960/708/55699/64951/9238/63875/54148/54534/10884/219927/115416/84300/90480/11222/84769/51335/64432/81554/116541/28998/10240/84148/65993/219402/7978/64983/128308/54998/60488/65005/54460/5018/9553/54802/118487/51263/55149/740/26164/51023/55052/64928/23107/51106/80324/64975/55006/64965/122704/78988",107,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0032543","mitochondrial translation","90/4354","131/18986",0.687022900763359,2.99582379280963,12.5038064354128,7.30802296621031e-29,2.28777658957214e-25,1.9639350139721e-25,"55168/51116/79590/51253/64976/51642/28958/51069/28973/84545/65003/51073/64949/54948/10573/9801/51373/7284/285367/84311/6150/26589/64981/51081/29088/51650/64963/26995/63931/6182/51649/51318/65080/6472/64978/6183/51021/10102/56945/79072/51264/64979/51204/29093/3396/64969/51258/55173/64960/708/55699/64951/63875/54148/54534/10884/219927/115416/84300/90480/11222/84769/51335/64432/81554/116541/28998/10240/65993/219402/64983/128308/54998/60488/65005/54460/5018/9553/118487/51263/740/26164/51023/55052/64928/23107/64975/64965/122704/78988",90,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","73/4354","103/18986",0.70873786407767,3.09051380050038,11.6046974292871,5.48966719462483e-25,1.1456935435182e-21,9.83517217394891e-22,"25880/644096/90871/617/28958/55101/131474/4702/29090/4724/493753/55863/374291/647087/389203/51287/115209/51295/25915/4713/4728/57001/790955/83943/9997/4711/79072/51204/7019/4722/135154/284184/4716/51103/25813/4696/4720/6834/4712/84300/4710/4718/4704/126328/4708/29078/4709/7386/84334/91942/55967/4717/4706/55572/4707/4694/5018/51079/79064/6341/4719/4715/4698/100303755/84987/54539/51241/2395/28976/4695/84233/57226/54949",73,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0097250","mitochondrial respirasome assembly","77/4354","114/18986",0.675438596491228,2.94530941501664,11.3639631641688,3.7397062868923e-24,5.85357526555818e-21,5.02498428970318e-21,"25880/154791/644096/90871/617/28958/55101/4702/29090/4724/493753/55863/374291/647087/389203/51287/51295/25915/4713/729515/4728/57001/1346/790955/9997/4711/79072/51204/25994/4722/135154/284184/4716/51103/4696/4720/6834/4712/84300/4710/4718/4704/126328/4708/29078/4709/64756/54968/7386/84334/91942/192286/55967/4717/513/4706/55572/4707/9167/4694/5018/51079/79064/6341/4719/4715/4698/100303755/84987/54539/51241/2395/28976/4695/84233/57226/54949",77,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0007005","mitochondrion organization","198/4354","452/18986",0.438053097345133,1.9101690643534,10.6832741971411,2.40876400478422e-23,3.0162542867908e-20,2.58929452809016e-20,"3479/1191/10060/1634/55022/7755/120892/10981/10493/8743/25880/4358/8936/154791/1050/3028/644096/90871/9638/28978/617/132671/572/28958/54978/55101/65018/4580/2021/10935/30968/2648/8834/131474/291/11331/4702/29090/4724/493753/55863/79594/374291/51499/56181/139341/647087/389203/10962/858/3155/10651/27429/84795/81858/139322/51287/115209/51295/201973/25915/26517/84902/4713/125988/729515/4728/57190/5819/57001/1346/790955/83943/9997/51024/4711/3988/10449/10452/1291/79072/26520/29928/51204/7019/56947/5566/4832/25994/4722/135154/124997/83982/284184/4716/92609/100188893/4082/293/51103/25813/4696/4720/6834/79568/27166/4712/84300/2139/4710/29108/4718/84883/4704/27069/126328/4708/29078/122509/26073/90580/4709/10899/64756/11315/81554/10572/54968/7386/84334/91942/51142/140823/56993/192286/84266/55967/55737/4717/25875/513/65084/6648/4706/55572/1678/23787/4707/84273/9868/64423/9167/10928/4694/5018/51079/79064/6341/5716/401505/4719/8192/4715/1267/26521/79017/5071/4000/4698/6742/84303/91137/57048/5516/5310/8878/100303755/7417/50484/84987/54539/51241/51566/142/2395/28976/4695/665/55156/581/56907/3082/84233/27113/57226/8996/440574/54949",198,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0045333","cellular respiration","125/4354","249/18986",0.502008032128514,2.1890501832779,10.3026155998944,3.4305779636374e-21,3.57980810505562e-18,3.07307562847939e-18,"10060/26471/4776/402/57017/847/1537/84277/3421/134145/3417/65018/6392/30968/10873/131474/79085/4191/4190/4702/4724/374291/56181/2647/2271/5162/8802/6391/79736/539/4713/506/4728/1346/6472/3420/790955/83943/9997/4723/4711/65990/205251/10476/2109/1291/388753/522/4722/135154/23479/4716/498/51103/10165/10131/4696/1329/4720/6834/27166/4712/84300/4710/509/4718/84883/4704/1340/27069/126328/4708/9551/4709/8803/11315/7386/521/51142/84269/4938/4731/113829/29796/1337/55967/4717/513/65084/6648/48/4706/515/4707/3588/9167/4694/5018/51079/55847/7385/387/4719/29997/4715/144363/7415/2108/7388/4698/7384/3454/2820/4726/54539/2395/158/1327/3416/4695/1345/9377/10975/1716/54949",125,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0009060","aerobic respiration","104/4354","200/18986",0.52,2.26750574184658,9.8298171888841,2.69874128945416e-19,2.41383131618179e-16,2.07214631939142e-16,"26471/402/57017/847/1537/84277/3421/134145/3417/65018/6392/30968/10873/79085/4191/4190/4702/4724/374291/56181/2647/2271/5162/8802/6391/79736/539/4713/506/4728/1346/6472/3420/790955/4723/4711/65990/10476/1291/388753/522/4722/135154/23479/4716/498/51103/4696/1329/4720/6834/4712/84300/4710/509/4718/4704/1340/27069/126328/4708/9551/4709/8803/11315/7386/521/51142/4731/29796/1337/55967/4717/513/65084/48/4706/515/4707/9167/4694/5018/51079/7385/387/4719/29997/4715/7415/7388/4698/7384/4726/54539/2395/158/1327/3416/4695/1345/9377/10975/1716/54949",104,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0009117","nucleotide metabolic process","199/4354","500/18986",0.398,1.73551401010565,9.09184753563331,9.66863345008243e-18,7.56691425387076e-15,6.49579505212117e-15,"4881/3479/2977/2327/10060/10846/55022/26471/108/5740/9540/120892/6817/93100/785/160428/9414/4882/83594/23498/4913/1728/2232/84836/402/7298/64223/4837/1854/349565/351/1740/84277/79077/2584/952/131870/572/109/83549/7084/100/134145/978/3417/65018/6392/128240/30968/23433/6714/25824/25796/10201/51715/115024/4191/4190/2539/4702/4724/79873/3643/23583/374291/11164/9060/4907/6470/4833/25996/3704/8460/51071/112/339123/6391/539/5106/4713/1353/506/318/4728/6120/30833/51292/57190/125061/65220/6888/203/3615/790955/7372/4723/1841/53343/3692/51024/4711/3988/65990/10476/9563/1291/7086/353/10591/4968/516/8654/522/5566/22934/4832/102157402/4722/1635/260425/4716/25939/498/4831/10165/706/204/4696/518/4720/4712/4710/5213/509/4718/4704/50808/527/126328/4708/9551/5315/64802/4709/11315/441024/54963/521/201163/5571/5744/55270/957/51181/471/7374/5901/4731/55967/4717/513/5223/4706/515/4707/4199/405/55312/4694/51079/4719/7345/4715/1267/7415/8226/5211/9061/4698/2820/4726/55739/50484/54539/226/8930/51341/142/133686/526/158/195827/4695/5635/27109/23171/27115/84875/1716",199,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:1901293","nucleoside phosphate biosynthetic process","142/4354","321/18986",0.442367601246106,1.92898283813931,9.15680312792935,1.51547795827288e-17,1.0542674996385e-14,9.05032801747522e-15,"4881/2977/54898/55022/108/5740/93100/5166/4882/83594/6675/23498/8790/7298/29926/4837/1854/349565/9945/4594/84277/5164/109/55343/83549/7084/100/134145/64834/978/65018/6392/30968/51144/10201/7358/4702/4724/29925/374291/5372/9060/6470/4833/112/5162/10007/6391/539/4713/1353/506/10295/318/4728/84869/125061/132789/65220/203/3615/790955/7372/4723/1841/4711/3988/65990/10476/353/516/522/23417/4832/102157402/4722/1635/79717/4716/4351/498/4831/5538/10165/38/204/4696/518/4720/4712/4710/509/4718/4704/50808/527/126328/4708/9551/64802/4709/441024/54963/521/55907/471/4731/5238/55967/4717/513/4706/515/4707/4199/55312/4694/51079/55577/4719/4715/7415/9061/4698/55902/80347/4726/55739/50484/54539/226/142/133686/158/4695/5635/27109/47/60490/84875/9524/1716",142,"STA_vs_Ruptured_de_novo","up","GO_BP"
"GO:0006119","oxidative phosphorylation","82/4354","149/18986",0.550335570469799,2.39978666535131,9.35721878887394,1.94751952235562e-17,1.19777061365231e-14,1.02822262347677e-14,"26471/57017/1537/84277/134145/65018/6392/30968/79085/4702/4724/374291/6391/79736/539/4713/506/4728/1346/6472/790955/4723/4711/65990/10476/388753/522/4722/23479/4716/498/51103/4696/1329/4720/4712/84300/4710/509/4718/4704/1340/27069/126328/4708/9551/4709/11315/7386/521/51142/4731/29796/1337/55967/4717/513/65084/4706/515/4707/9167/4694/51079/7385/387/4719/4715/7415/7388/4698/7384/4726/54539/2395/1327/4695/1345/9377/10975/1716/54949",82,"STA_vs_Ruptured_de_novo","up","GO_BP"
