"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"CCN5",0,13.3156928536058,0.812,0.001,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ADH1B",0,12.7282498352329,0.827,0.001,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"XIST",0,-12.3332879365698,0,0.531,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"VIT",0,11.775335389486,0.766,0,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"RPS4Y1",0,11.6060119014739,0.735,0,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CFD",0,11.3749976952504,0.943,0.036,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CXCL14",0,11.2163217385323,0.805,0.008,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"IGHG4",0,-10.6343455810978,0,0.24,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ABCA6",0,9.17509188408701,0.773,0.006,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"NOVA1",0,8.5622754227688,0.736,0.008,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CCL20",0,-8.46655733833735,0.003,0.541,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"OLR1",0,-8.34579130339514,0.001,0.352,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"GSN",0,8.11908040437997,0.963,0.11,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"GAS6",0,7.95919762304161,0.796,0.022,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CXCL8",0,-7.9282657811002,0.021,0.972,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"MFAP5",0,7.75326282748556,0.795,0.019,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MFAP4",0,7.65320566657049,0.851,0.021,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PODN",0,7.53367391378798,0.774,0.013,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ABCA8",0,7.48974230812082,0.893,0.009,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"GPX3",0,7.47906291930107,0.711,0.011,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"NFIB",0,7.43056125595449,0.81,0.018,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"HSPA6",0,-7.38313661399443,0.011,0.302,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"EREG",0,-7.30646659429043,0.002,0.354,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"IGLC2",0,-7.29646888183477,0.004,0.512,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"LAMA2",0,7.27174468039881,0.873,0.034,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PDGFRL",0,7.24426094346145,0.782,0.017,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PLA2G2A",0,7.24337032594524,0.761,0.027,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SPARCL1",0,7.06033794932241,0.862,0.038,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PRELP",0,7.00316307484518,0.804,0.016,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"FAAH2",0,-6.97983011901809,0.012,0.499,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"CCR7",0,-6.95291745306347,0.005,0.502,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"NEGR1",0,6.86192458429146,0.774,0.016,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"BICDL1",0,-6.81291632024885,0.011,0.722,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"DCN",0,6.67958352417695,0.962,0.202,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"HBB",0,-6.61490771373929,0.031,0.79,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"SELL",0,-6.53658559007428,0.006,0.364,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"PLAC9",0,6.5319882307717,0.905,0.047,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TNXB",0,6.53061086442357,0.734,0.026,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"EPHX1",0,6.52690209573817,0.844,0.024,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"EFEMP1",0,6.44336350002455,0.869,0.045,0,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
