"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0097250","mitochondrial respirasome assembly","79/4110","114/18986",0.692982456140351,3.20120800785419,12.3904669224079,1.2186632111862e-27,3.18070504112814e-24,2.63647631281597e-24,"1346/154791/28958/644096/90871/25915/790955/25880/493753/729515/647087/25994/4713/617/4702/389203/4728/4724/4720/4717/135154/4718/84300/100303755/374291/4716/51287/4696/4711/4707/4706/79072/126328/4708/29090/4715/64756/55863/4694/4722/284184/51079/55967/57001/55101/6834/4709/4710/84334/4704/51295/513/84233/4714/4698/4712/54949/100131801/1347/57226/51241/116228/4719/51103/192286/9997/4700/7386/91942/6341/10063/51204/79064/84987/4695/4705/54539/9167/4725",79,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","74/4110","103/18986",0.718446601941748,3.31883873101363,12.4032868665038,1.40202821574641e-27,3.18070504112814e-24,2.63647631281597e-24,"28958/644096/115209/90871/25915/790955/25880/493753/647087/4713/617/4702/389203/4728/4724/4720/4717/135154/4718/84300/100303755/374291/4716/51287/4696/4711/4707/4706/79072/126328/4708/29090/4715/55863/4694/4722/284184/51079/55967/57001/25813/55101/6834/4709/4710/84334/4704/51295/84233/4714/4698/4712/54949/100131801/57226/51241/116228/4719/51103/7019/9997/4700/7386/91942/6341/83943/10063/51204/79064/84987/4695/4705/54539/4725",74,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0007005","mitochondrion organization","200/4110","452/18986",0.442477876106195,2.04401093813922,11.8079040024213,1.52722713242388e-27,3.18070504112814e-24,2.63647631281597e-24,"3479/10060/132671/1634/7755/1346/3082/858/1191/1291/10493/8996/154791/120892/8743/55022/9638/10981/28958/28978/644096/115209/90871/5819/3155/122509/2139/25915/84883/790955/25880/4832/3429/572/1050/4358/51024/56181/493753/729515/647087/25994/4713/4580/83982/10651/617/4702/389203/4728/139322/4724/4720/4717/135154/10935/4718/84300/100303755/26517/57190/291/84795/26521/65018/125988/27429/374291/4716/10449/3028/2648/29108/11315/599/30968/51287/4696/51499/79594/4711/140823/4707/10962/84902/201973/139341/8936/54978/4706/29928/79072/4082/126328/4708/5310/8834/56907/29090/4715/64756/55863/26519/56947/440574/11331/9093/4694/4722/284184/5566/51079/55967/57001/25813/55101/81858/6834/4709/10572/27166/4710/4000/90580/79017/23787/55156/55737/57048/2021/84334/93974/10899/2034/4704/51566/51295/401505/513/92609/84233/100188893/26515/5071/27069/65084/4714/51142/4698/4712/54949/158234/81554/100131801/26520/1347/57226/55186/3988/51241/116228/4719/51103/207/7019/10452/192286/664/9997/4700/7386/6742/10367/50484/2631/91942/25875/6341/83943/10063/51204/79064/84987/4695/4205/4705/8192/7417/10928/54539/87178/282991/81892/293/1890/5516/9167/54832/665/4725",200,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0045333","cellular respiration","129/4110","249/18986",0.518072289156627,2.39321666226952,11.631920674065,7.68865078424493e-26,1.20096725249906e-22,9.95477943644344e-23,"10060/1346/4776/26471/1291/10873/402/57017/205251/847/84883/790955/65990/2109/56181/134145/4713/3421/1537/4702/4728/4724/4720/4717/135154/2271/48/4718/84300/55847/2647/4723/6392/65018/5162/4191/4190/374291/4716/29103/522/11315/8802/30968/144363/84277/10165/509/4696/4711/4707/4701/27089/23479/4706/126328/4731/4708/79736/1329/4938/521/4715/9551/4694/4722/51079/55967/6834/4709/84269/27166/4710/10975/3417/5160/93974/29796/4704/7384/6391/513/539/1345/3454/4726/27069/65084/10476/387/4714/51142/4698/1340/4712/54949/3416/388753/4697/1347/10131/3588/2820/6472/4719/506/51103/7415/3420/2108/9377/1716/1351/664/9997/4700/7385/7386/2631/83943/4695/1337/8604/4705/54539/87178/8803/9167/4725",129,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0032543","mitochondrial translation","83/4110","131/18986",0.633587786259542,2.92683642577218,11.6318918102925,7.31775643796151e-25,9.14426844487671e-22,7.5796550894254e-22,"28958/29088/64949/79590/64976/55168/51069/64981/26589/84545/51116/28973/51318/51649/9801/84300/3396/64963/51642/51253/285367/54948/51258/90480/55699/65003/64979/6182/10573/63931/65993/51373/51021/51264/64978/79072/51023/51073/54460/29093/6183/64951/63875/55052/64969/128308/54998/28998/115416/78988/55173/51650/51081/64960/9553/64975/84311/219402/118487/64983/54148/65005/10240/11222/116541/64432/56945/7284/22868/81554/54534/10102/26164/708/26995/28977/6472/51335/122704/64928/51204/92170/28957",83,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0009060","aerobic respiration","109/4110","200/18986",0.545,2.51760827250608,11.3407205996267,2.20565077894817e-24,2.29681767781136e-21,1.90382488288158e-21,"1346/26471/1291/10873/402/57017/847/790955/65990/56181/134145/4713/3421/1537/4702/4728/4724/4720/4717/135154/2271/48/4718/84300/2647/4723/6392/65018/5162/4191/4190/374291/4716/29103/522/11315/8802/30968/84277/509/4696/4711/4707/4701/27089/23479/4706/126328/4731/4708/79736/1329/521/4715/9551/4694/4722/51079/55967/6834/4709/4710/10975/3417/5160/93974/29796/4704/7384/6391/513/539/1345/4726/27069/65084/10476/387/4714/51142/4698/1340/4712/54949/3416/388753/4697/1347/6472/4719/506/51103/7415/3420/9377/1716/1351/664/4700/7385/7386/2631/4695/1337/4705/54539/8803/9167/4725",109,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0006119","oxidative phosphorylation","88/4110","149/18986",0.590604026845638,2.72827446561832,11.132253968484,3.47467303669752e-23,3.10139387618373e-20,2.5707355399326e-20,"1346/26471/57017/790955/65990/134145/4713/1537/4702/4728/4724/4720/4717/4718/84300/4723/6392/65018/374291/4716/29103/522/11315/30968/84277/509/4696/4711/4707/4701/27089/23479/4706/126328/4731/4708/79736/1329/521/4715/9551/4694/4722/51079/55967/4709/4710/10975/93974/29796/4704/7384/6391/513/539/1345/4726/27069/65084/10476/387/4714/51142/4698/1340/4712/54949/388753/4697/1347/6472/4719/506/51103/7415/9377/1716/1351/4700/7385/7386/2631/4695/1337/4705/54539/9167/4725",88,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0015980","energy derivation by oxidation of organic compounds","157/4110","356/18986",0.441011235955056,2.03723584570382,10.3843475622061,1.090011984453e-21,8.5129935985779e-19,7.05639337303782e-19,"3479/10060/1346/4776/3953/112464/26471/1291/10873/402/55022/1312/57017/9945/205251/847/3667/84883/790955/5836/65990/2548/2109/56181/55829/134145/3643/4713/5213/3421/1537/10580/4702/11152/4728/4724/4720/4717/135154/55062/2271/48/4718/84300/9572/55847/57190/2647/4723/6392/65018/5162/4191/4190/374291/4716/29103/522/11315/8802/37/30968/144363/84277/10165/509/4696/4711/4707/178/4701/27089/23479/4706/126328/4731/4708/79736/1329/4938/521/4715/9551/4694/137872/4722/51079/55967/2887/6834/34/4709/84269/27166/4710/10975/3417/5160/93974/29796/4704/7384/6391/513/539/3572/1345/3454/4726/27069/65084/10476/387/4714/51142/4698/1340/4712/54949/3416/388753/7360/4697/1347/10131/3588/2820/6472/4719/506/51103/207/7415/3420/2108/9377/1716/1351/664/9997/4700/7385/7386/2992/2631/5257/83943/5501/4695/1337/8604/4705/54539/87178/8803/9167/4725",157,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0140053","mitochondrial gene expression","93/4110","169/18986",0.550295857988166,2.54207230164558,10.584150904581,2.11981625885795e-21,1.47162355392716e-18,1.2198240928165e-18,"57570/28958/29088/64949/79590/64976/55168/51069/51250/64981/26589/84545/51116/28973/51318/51649/9801/84300/3396/64963/51642/51253/285367/54948/51001/51258/90480/55699/3028/65003/64979/6182/10573/10922/63931/65993/51373/51021/51264/64978/79072/51023/51073/54460/79736/29093/6183/64951/63875/55052/64969/128308/54998/28998/115416/78988/55173/51650/51081/64960/9553/64975/84311/219402/118487/84148/64983/54148/65005/10240/11222/116541/64432/56945/7284/22868/51106/81554/54534/10102/26164/708/26995/28977/6472/51335/7019/122704/64928/51204/92170/87178/28957",93,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","51/4110","68/18986",0.75,3.46459854014599,10.7015370528452,8.1412585169345e-21,5.08665832138068e-18,4.21631493719134e-18,"65990/134145/4713/4702/4728/4724/4720/4717/4718/4723/6392/374291/4716/522/30968/84277/509/4696/4711/4707/4701/4706/126328/4731/4708/521/4715/9551/4694/4722/51079/55967/4709/4710/93974/4704/6391/513/539/4726/10476/4714/4698/4712/4719/506/4700/4695/4705/54539/4725",51,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0006091","generation of precursor metabolites and energy","196/4110","490/18986",0.4,1.84778588807786,9.99374909282962,1.1061406505564e-20,6.28287889516036e-18,5.20785837391147e-18,"3479/10060/54511/1346/4776/3953/112464/26471/1291/10873/79611/402/51523/55022/1312/160428/57017/9945/205251/847/3667/3155/2232/6714/2584/84883/790955/51071/5836/65990/1050/2548/2109/56181/55829/64223/134145/3643/4713/5213/3421/1537/10580/10954/4702/11152/4728/4724/4720/4717/135154/55062/2271/48/351/25796/4718/84300/339123/9572/55847/57190/291/9563/2647/4723/6392/65018/5162/4191/4190/374291/4716/29103/522/11315/8802/37/30968/144363/84277/10165/509/112812/4696/4711/4707/178/4701/27089/23479/4706/6888/126328/10007/6120/4731/4708/79736/1329/4938/521/4715/9551/11331/4694/137872/4722/7345/5566/51079/55967/2887/6834/34/4709/84269/27166/4710/10975/3417/405/5160/84334/93974/29796/5571/4704/7384/6391/54677/3692/513/539/3572/1345/3454/4726/27069/65084/10476/387/4714/51142/4698/1340/4712/54949/3416/388753/7360/4697/1347/3988/10131/3588/2820/5223/6472/7167/4719/506/51103/207/7415/3420/2539/2108/9377/38/1716/1351/664/5315/9997/4700/7385/7386/2992/2631/5257/7086/83943/10063/5501/4695/1337/8604/4705/54539/5211/87178/8803/9167/4725/3939",196,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0022904","respiratory electron transport chain","75/4110","125/18986",0.6,2.77167883211679,10.4457775280486,1.53888959977697e-20,8.01248518283873e-18,6.64152353587954e-18,"1346/57017/84883/790955/2109/4713/1537/4702/4728/4724/4720/4717/4718/4723/6392/65018/4191/4190/374291/4716/29103/11315/144363/10165/4696/4711/4707/4701/27089/23479/4706/4731/4708/1329/4715/4694/4722/55967/4709/4710/10975/29796/4704/7384/6391/1345/4726/27069/4714/51142/4698/1340/4712/54949/388753/4697/1347/2820/4719/51103/2108/9377/1716/1351/9997/4700/7385/7386/83943/4695/1337/8604/4705/9167/4725",75,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0009142","nucleoside triphosphate biosynthetic process","74/4110","124/18986",0.596774193548387,2.75677733301939,10.3161302878975,4.32771282321212e-20,2.07996536303302e-17,1.72407668746588e-17,"55022/790955/4832/65990/7298/10201/516/134145/4713/4702/4728/203/4724/4720/4717/4831/54963/4718/1841/4723/6392/65018/374291/4716/522/30968/84277/10165/509/4696/4711/4707/4701/4706/126328/4731/4708/521/4715/9551/4694/4722/51079/518/55967/4833/318/4709/4710/93974/4704/6391/83549/513/539/50808/4726/10476/4714/4698/4712/3988/4719/506/7415/4700/3615/27109/4830/4695/4705/517/54539/4725",74,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0015986","proton motive force-driven ATP synthesis","54/4110","77/18986",0.701298701298701,3.23962460896767,10.3506932788569,1.05040012160618e-19,4.68778568556816e-17,3.88569067541535e-17,"65990/516/134145/4713/4702/4728/4724/4720/4717/4718/4723/6392/374291/4716/522/30968/84277/509/4696/4711/4707/4701/4706/126328/4731/4708/521/4715/9551/4694/4722/51079/518/55967/4709/4710/93974/4704/6391/513/539/4726/10476/4714/4698/4712/4719/506/4700/4695/4705/517/54539/4725",54,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0042773","ATP synthesis coupled electron transport","64/4110","101/18986",0.633663366336634,2.92718556527186,10.2072523841786,1.71011769175809e-19,6.52809816259047e-17,5.41111984634159e-17,"1346/57017/790955/4713/1537/4702/4728/4724/4720/4717/4718/4723/6392/65018/374291/4716/29103/11315/4696/4711/4707/4701/27089/23479/4706/4731/4708/1329/4715/4694/4722/55967/4709/4710/10975/29796/4704/7384/6391/1345/4726/27069/4714/51142/4698/1340/4712/54949/388753/4697/1347/4719/51103/9377/1716/1351/4700/7385/7386/4695/1337/4705/9167/4725",64,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","64/4110","101/18986",0.633663366336634,2.92718556527186,10.2072523841786,1.71011769175809e-19,6.52809816259047e-17,5.41111984634159e-17,"1346/57017/790955/4713/1537/4702/4728/4724/4720/4717/4718/4723/6392/65018/374291/4716/29103/11315/4696/4711/4707/4701/27089/23479/4706/4731/4708/1329/4715/4694/4722/55967/4709/4710/10975/29796/4704/7384/6391/1345/4726/27069/4714/51142/4698/1340/4712/54949/388753/4697/1347/4719/51103/9377/1716/1351/4700/7385/7386/4695/1337/4705/9167/4725",64,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","70/4110","116/18986",0.603448275862069,2.78760802080711,10.1507578112572,1.84613832311504e-19,6.52809816259047e-17,5.41111984634159e-17,"55022/790955/4832/65990/10201/516/134145/4713/4702/4728/4724/4720/4717/4831/54963/4718/4723/6392/65018/374291/4716/522/30968/84277/10165/509/4696/4711/4707/4701/4706/126328/4731/4708/521/4715/9551/4694/4722/51079/518/55967/4833/318/4709/4710/93974/4704/6391/83549/513/539/4726/10476/4714/4698/4712/3988/4719/506/7415/4700/3615/27109/4830/4695/4705/517/54539/4725",70,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","68/4110","111/18986",0.612612612612613,2.82994235111023,10.1633889071274,1.8806940929358e-19,6.52809816259047e-17,5.41111984634159e-17,"55022/790955/4832/65990/10201/516/134145/4713/4702/4728/4724/4720/4717/4831/4718/4723/6392/65018/374291/4716/522/30968/84277/10165/509/4696/4711/4707/4701/4706/126328/4731/4708/521/4715/9551/4694/4722/51079/518/55967/4833/318/4709/4710/93974/4704/6391/513/539/4726/10476/4714/4698/4712/3988/4719/506/7415/4700/3615/27109/4830/4695/4705/517/54539/4725",68,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0022900","electron transport chain","77/4110","135/18986",0.57037037037037,2.63480580337028,10.0195677243056,3.33863742081612e-19,1.09788455817153e-16,9.10033025507774e-17,"1346/57017/84883/790955/2109/4713/1537/10954/4702/4728/4724/4720/4717/4718/4723/6392/65018/4191/4190/374291/4716/29103/11315/144363/10165/112812/4696/4711/4707/4701/27089/23479/4706/4731/4708/1329/4715/4694/4722/55967/4709/4710/10975/29796/4704/7384/6391/1345/4726/27069/4714/51142/4698/1340/4712/54949/388753/4697/1347/2820/4719/51103/2108/9377/1716/1351/9997/4700/7385/7386/83943/4695/1337/8604/4705/9167/4725",77,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","68/4110","112/18986",0.607142857142857,2.80467500868961,10.0683700020309,3.77984928711763e-19,1.18082491729555e-16,9.78782025927303e-17,"55022/790955/4832/65990/10201/516/134145/4713/4702/4728/4724/4720/4717/4831/4718/4723/6392/65018/374291/4716/522/30968/84277/10165/509/4696/4711/4707/4701/4706/126328/4731/4708/521/4715/9551/4694/4722/51079/518/55967/4833/318/4709/4710/93974/4704/6391/513/539/4726/10476/4714/4698/4712/3988/4719/506/7415/4700/3615/27109/4830/4695/4705/517/54539/4725",68,"STA_vs_Ruptured_recurrent","up","GO_BP"
