"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"IGHG4",0,-15.2991664904213,0,0.833,0,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"FP671120.7",0,-12.146477153033,0.001,0.5,0,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IGHA1",0,-12.0106173095105,0.001,0.667,0,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IGHG3",2.77847093764935e-179,-8.89194734380286,0.001,0.5,8.46739018248641e-175,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC023469.1",5.16673852179977e-160,-11.5036917323287,0,0.167,1.57456356451848e-155,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"FAM83D",8.30820727153219e-111,-7.15703701733864,0.003,0.5,2.53192616599944e-106,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SAG",8.03648810529755e-81,-12.7285162542795,0,0.167,2.44911975008943e-76,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"LINC02775",8.03648810529755e-81,-10.3106276967245,0,0.167,2.44911975008943e-76,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IGHGP",8.73571779732647e-81,-9.78217133046234,0,0.167,2.66220999873524e-76,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CCR7",1.31442823158849e-60,-7.78954759511218,0.005,0.5,4.00572003576592e-56,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IGHG1",2.29395283491331e-59,-7.02928766299876,0.005,0.5,6.9908212643983e-55,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC067956.1",3.76566097335761e-41,-10.2952047372431,0.001,0.167,1.14758518163073e-36,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TRBC1",2.54827751206561e-37,-6.34919463900619,0.016,0.667,7.76587571801994e-33,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC126696.1",9.82840325760831e-37,-9.20903190295853,0.001,0.167,2.99520589275613e-32,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TFCP2L1",1.05857435426626e-36,-8.19213595910732,0.001,0.167,3.22600534462644e-32,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SIK1B",1.99160207106912e-36,-6.35926322659667,0.004,0.333,6.06940731158315e-32,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD6",2.18838274554946e-36,-4.60305362386836,0.016,0.667,6.66909641706199e-32,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"VAV1",1.39543004260203e-34,-6.89603287271049,0.009,0.5,4.2525730548297e-30,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IGKC",4.35306716662491e-34,-7.46713224768045,0.027,0.833,1.32659721902894e-29,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"OLR1",3.37433014447877e-33,-9.90933862620043,0.001,0.167,1.02832711152991e-28,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AL590764.1",3.37433014447877e-33,-9.5377692797149,0.001,0.167,1.02832711152991e-28,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
