"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0050851","antigen receptor-mediated signaling pathway","24/142","212/18986",0.113207547169811,15.1363273983524,17.9675575159951,1.10809810250562e-21,2.24833104998389e-18,1.77878905928533e-18,"3503/3493/3502/1236/3514/3500/28639/7805/84174/5579/26191/5142/28638/387357/917/919/915/5293/3071/3932/5788/916/8631/3702",24,"STA_vs_Unruptured","down","GO_BP"
"GO:0030217","T cell differentiation","27/142","320/18986",0.084375,11.2812940140845,16.1012673940474,6.53986545692852e-21,6.63469350605398e-18,5.24910253779789e-18,"1236/7409/6693/26191/729230/814/22806/864/3561/387357/6775/939/3718/1880/917/915/5293/3071/3932/6932/914/5788/916/3702/3575/10538/944",27,"STA_vs_Unruptured","down","GO_BP"
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","28/142","369/18986",0.0758807588075881,10.1455780754991,15.4004148735143,2.01884853056622e-20,1.19012346431943e-17,9.4157779724891e-18,"3503/3493/3502/1236/719/3514/3500/7409/28639/7805/84174/64005/5579/26191/5142/28638/387357/917/919/915/5293/3071/3932/5588/5788/916/8631/3702",28,"STA_vs_Unruptured","down","GO_BP"
"GO:0002429","immune response-activating cell surface receptor signaling pathway","27/142","336/18986",0.0803571428571429,10.7440895372233,15.6435174786022,2.34622664232515e-20,1.19012346431943e-17,9.4157779724891e-18,"3503/3493/3502/1236/719/3514/3500/7409/28639/7805/84174/64005/5579/26191/5142/28638/387357/917/919/915/5293/3071/3932/5788/916/8631/3702",27,"STA_vs_Unruptured","down","GO_BP"
"GO:0030098","lymphocyte differentiation","28/142","426/18986",0.0657276995305164,8.78807114990412,14.112652543096,9.2849313718197e-19,3.76782515068443e-16,2.98095165095264e-16,"1236/7409/6693/26191/729230/814/22806/864/3561/387357/6775/939/3718/1880/917/915/5293/3071/3932/6932/914/5788/916/3702/10320/3575/10538/944",28,"STA_vs_Unruptured","down","GO_BP"
"GO:0050863","regulation of T cell activation","25/142","393/18986",0.0636132315521628,8.50535784682651,13.0513630141022,1.77832392882638e-16,6.01369875264789e-14,4.75779647624603e-14,"1236/7409/6693/7805/10077/26191/729230/814/864/3561/939/3718/11151/923/3071/3932/6932/914/5588/5788/6352/916/3575/10538/944",25,"STA_vs_Unruptured","down","GO_BP"
"GO:0046631","alpha-beta T cell activation","19/142","196/18986",0.0969387755102041,12.9611238861742,14.6116600444581,4.56805904990134e-16,1.32408454460712e-13,1.04756241369918e-13,"28639/6693/729230/864/3561/28638/6775/3718/1880/917/919/915/3071/5588/5788/916/3702/10538/944",19,"STA_vs_Unruptured","down","GO_BP"
"GO:0050852","T cell receptor signaling pathway","17/142","149/18986",0.114093959731544,15.2548445032612,15.1639615552431,1.11732505511594e-15,2.8338156710378e-13,2.2420009329629e-13,"1236/28639/7805/84174/26191/5142/28638/387357/917/919/915/5293/3932/5788/916/8631/3702",17,"STA_vs_Unruptured","down","GO_BP"
"GO:0002449","lymphocyte mediated immunity","23/142","386/18986",0.0595854922279793,7.9668320805663,12.0042615240335,1.30943138736119e-14,2.95204031661762e-12,2.33553551546879e-12,"3503/3493/3502/3538/3514/3500/7409/6693/84174/64005/729230/50615/939/924/11151/3820/3071/7454/914/10870/5788/3575/10538",23,"STA_vs_Unruptured","down","GO_BP"
"GO:0002443","leukocyte mediated immunity","25/142","485/18986",0.0515463917525773,6.89197037897488,11.4102917146058,2.2762956903252e-14,4.61860395566983e-12,3.65405360815361e-12,"3503/3493/3502/3538/3514/3500/7409/6693/84174/64005/729230/50615/939/924/3718/11151/3820/5293/3071/7454/914/10870/5788/3575/10538",25,"STA_vs_Unruptured","down","GO_BP"
"GO:0007159","leukocyte cell-cell adhesion","23/142","430/18986",0.0534883720930233,7.15162135604324,11.2006845708825,1.28403796876818e-13,2.36846639875513e-11,1.87383531327415e-11,"4973/1236/7409/6693/7805/10077/26191/729230/864/3561/939/3718/11151/923/3071/3932/3683/5588/5788/6352/916/8631/3575",23,"STA_vs_Unruptured","down","GO_BP"
"GO:0050853","B cell receptor signaling pathway","12/142","79/18986",0.151898734177215,20.309502585131,14.9291899970097,6.38131721067675e-13,1.07897438503859e-10,8.53641118094916e-11,"3503/3493/3502/3514/3500/5579/26191/5293/3071/3932/5788/3702",12,"STA_vs_Unruptured","down","GO_BP"
