"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"FP671120.7",2.41953260274489e-193,11.1827809357985,0.5,0.001,7.37352560686504e-189,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC079352.1",2.35173738108438e-108,11.8221990228636,0.167,0,7.16691966885465e-104,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC023469.1",2.35173738108438e-108,11.491179806794,0.167,0,7.16691966885465e-104,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IGHA1",8.6001115539107e-87,8.27397809990003,0.667,0.005,2.62088399605429e-82,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PIWIL1",7.07089975756621e-55,7.15367615506166,0.167,0,2.1548567011183e-50,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IGHG1",7.62801971280538e-43,6.31294024768627,0.5,0.007,2.32463900747744e-38,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SAG",4.13433540251248e-37,10.44097343827,0.167,0.001,1.25993871391568e-32,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"DLG1-AS1",4.62157072764094e-37,8.40753193534858,0.167,0.001,1.40842367924858e-32,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC021613.1",4.62157072764094e-37,7.82751215195663,0.167,0.001,1.40842367924858e-32,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LINC02775",4.62157072764094e-37,7.38930596023736,0.167,0.001,1.40842367924858e-32,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC024022.1",3.58414137671869e-28,8.80840341705075,0.167,0.001,1.09226708455502e-23,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC067956.1",3.58414137671869e-28,8.71233142818152,0.167,0.001,1.09226708455502e-23,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AL157944.1",3.58414137671869e-28,8.64120511746328,0.167,0.001,1.09226708455502e-23,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"HPGDS",3.58414137671869e-28,8.43992357187347,0.167,0.001,1.09226708455502e-23,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC007376.2",4.23626453253099e-28,7.56133903353728,0.167,0.001,1.29100161628882e-23,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AL136114.1",9.68514639426326e-23,7.33270069912237,0.167,0.001,2.95154836365173e-18,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LUZP2",9.68514639426326e-23,5.9894734537178,0.167,0.001,2.95154836365173e-18,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC007952.4",1.66927967344521e-18,5.82173409096789,0.833,0.053,5.08712980482426e-14,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RBFOX1",1.69205136274276e-17,5.27217915731868,0.333,0.008,5.15652652795856e-13,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IGHG3",3.08701915982433e-17,5.16200704460027,0.5,0.019,9.40769088956464e-13,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CDH18",1.28057313055091e-16,6.26411134830315,0.167,0.002,3.90254661535391e-12,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"TFCP2L1",1.34331688060895e-16,6.48730212406602,0.167,0.002,4.09375819365579e-12,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CTTNBP2",1.4090896771217e-16,6.62105858199104,0.167,0.002,4.29420079102838e-12,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC245014.3",1.70416664069859e-15,7.39035801419812,0.333,0.01,5.19344783752894e-11,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LINGO1",3.097723000867e-15,6.3691987875192,0.5,0.022,9.4403108451422e-11,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AL591368.1",1.28260041193555e-14,5.94535555866203,0.167,0.002,3.9087247553736e-10,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RMRP",4.36167323497432e-14,5.46722813351493,0.333,0.011,1.32921991835842e-09,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"KHDRBS2",3.58171871444361e-13,6.2757774948129,0.167,0.003,1.09152877822669e-08,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LZTR1",1.69779627587876e-12,5.69103482320814,0.5,0.028,5.17403415074053e-08,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"C1orf143",5.52411561917036e-12,7.18738052535167,0.167,0.003,1.68347423494217e-07,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IGHG4",8.96459358065777e-12,6.00789262160686,0.833,0.087,2.73195989370546e-07,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC024230.1",6.06042661024925e-11,5.55158583893547,0.167,0.003,1.84691500947346e-06,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"TERB1",3.48111924657254e-10,7.02633230790553,0.167,0.004,1.06087109039298e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"GRID2",3.89330182403173e-10,5.8597459134173,0.167,0.004,1.18648373087367e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PRLR",4.23333631117906e-10,5.02966483783158,0.167,0.004,1.29010924083182e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SIK1B",5.35374221591844e-10,4.28730418423218,0.333,0.015,1.63155294030114e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"TENM2",1.93367733424373e-09,5.95030870359972,0.167,0.004,5.89288167610776e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"DPP6",2.08915393051239e-09,4.69347914958978,0.167,0.004,6.36669660323652e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ENTPD6",3.80293141155317e-09,3.77233850845395,0.5,0.038,0.000115894334767083,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ARFGEF3",6.95751750630836e-09,7.44914643648818,0.167,0.004,0.000212030346004747,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"KIAA1211",7.1267312877754e-09,7.48018808152272,0.167,0.004,0.000217187135994955,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LINC01933",7.29994463003772e-09,6.08245527684928,0.167,0.004,0.0002224658126004,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ARHGEF5",8.34560729651586e-09,4.9295594361252,0.333,0.018,0.000254332382361321,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"DPP10",8.42849215198188e-09,4.96836572597333,0.167,0.004,0.000256858298331648,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RASA4B",2.31351954738029e-08,7.83883583670408,0.167,0.005,0.000705045082064143,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"FAM83D",6.50721941524277e-08,3.50265313779804,0.5,0.045,0.00198307511679523,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CCBE1",7.36844194643908e-08,5.30549785495068,0.167,0.005,0.00224553268317731,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CHST10",8.01281291054133e-08,5.26689189922293,0.167,0.005,0.00244190473448747,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RPUSD1",9.16638219986698e-08,4.48872477361723,0.333,0.021,0.00279345497540946,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RAD51C",1.05906663263029e-07,4.02952177825199,0.5,0.048,0.00322750556294081,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
