"gene","module","variance"
"ACTA1","M1",20.1795850969214
"ITLN1","M1",19.7210135514895
"RPS4Y1","M2",19.6691572753008
"MYOC","M1",18.1453007025028
"RPS4Y2","M2",17.7900198421452
"CABP7","M3",17.7648591423915
"CCL18","M3",17.169870777908
"SPP1","M3",17.1371732435579
"RERGL","M1",16.2063331747226
"CASQ2","M1",14.7864375594277
"COL11A1","M3",14.6361432287232
"NPY1R","M1",14.6120004654168
"CILP","M1",14.4553446632534
"MYH11","M1",14.0159199955226
"ANGPTL7","M1",13.9582813528051
"KIAA1199","M3",13.9013920428276
"LRRC2","M3",13.8233153229795
"PLN","M1",13.5259569006725
"OLR1","M3",13.5160669741375
"WISP2","M1",13.4843613141134
"OSTbeta","M3",13.4831752634201
"SOST","M1",13.3090743567745
"MYOT","M1",13.205765750296
"TPO","M1",13.0566084778194
"FHL5","M1",12.7678255954245
"XIST","M3",12.6925036381376
"C2orf40","M1",12.5176557525118
"CCL7","M3",12.466886976718
"PCDH20","M1",12.2779697728206
"IL8","M3",12.2155207148573
"APOC1","M3",11.7284862030876
"IBSP","M3",11.6794520442127
"PKD2L1","M3",11.5538273507904
"CXCL14","M1",11.342757982336
"MYH7","M1",11.3063636070077
"MMP7","M3",11.2561898429575
"DES","M1",11.2050544332677
"PGAM2","M1",11.0901593620125
"PLA2G7","M3",11.0855767052578
"ANGPTL1","M1",11.085472934139
"LOC645638","M3",11.0284301255905
"CGB1","M3",10.9913382809214
"CDH19","M1",10.7917703575921
"AOC3","M1",10.7756528451595
"CXCL10","M3",10.7481237614596
"PLIN","M1",10.692531678061
"DAPL1","M3",10.5258686864529
"LOC389043","M3",10.4282174120239
"PDZRN4","M1",10.3528322783846
"TREM2","M3",10.3074911261639
"H19","M1",10.2956893841333
"CKM","M1",10.2736173449379
"IGFBP1","M3",10.2560448119554
"VIT","M1",10.1998534172629
"C8orf84","M1",10.1884768288508
"C15orf48","M3",9.98524497121186
"RBPMS2","M1",9.96227360486035
"RP11-167P23.2","M3",9.95644929600278
"RYR2","M1",9.85577289508545
"ACP5","M3",9.84930628872956
"RPA4","M3",9.81482130091748
"ADAMDEC1","M3",9.73588432640157
"ATP1A2","M1",9.62066672150441
"XG","M1",9.54960176773987
"MB","M1",9.52073425655558
"MMP12","M3",9.40213145423258
"CXCL1","M3",9.33498530603663
"HTRA4","M3",9.31297807185908
"TNNT1","M1",9.15997654218689
"CD86","M3",9.11496596748269
"LPHN3","M1",9.10862462583676
"HMOX1","M3",9.10360806999919
"ITIH3","M1",9.06207210115464
"PLA2G2A","M1",9.05706051303833
"MUSTN1","M1",9.00731985356441
"KCNA5","M1",8.96697404187586
"CA3","M1",8.94983170513199
"SLITRK6","M1",8.91834852682159
"SLC7A11","M3",8.88028078669193
"TM4SF19","M3",8.84395020186932
"CYP4B1","M1",8.73977648932724
"CHIT1","M3",8.72908540586035
"CSRP3","M1",8.71221129344721
"FREM1","M1",8.69650874073106
"SCN7A","M1",8.6358904046879
"ATXN3L","M3",8.5684930582255
"FPR3","M3",8.49351234426251
"KCNAB1","M1",8.47220204434532
"GPC3","M1",8.38921270042597
"NOV","M1",8.37069652165363
"RAP1GAP","M3",8.33811659632337
"WFDC1","M1",8.33736236852865
"OCA2","M1",8.32721220841473
"APOBEC2","M1",8.32052860355882
"MYRIP","M1",8.26963714037755
"C13orf30","M3",8.23637907820596
"CXCL6","M3",8.23477040112565
"IFI30","M3",8.22177270820611
"HEY2","M1",8.18461139812142
"SLN","M1",8.16675972084624
"MEOX2","M1",8.16289326909323
"GOLSYN","M1",8.09975453871465
"SPOCD1","M3",8.08711665895152
"DUSP26","M1",8.06639779607709
"COL4A6","M1",8.01441362189727
"MSR1","M3",8.00388983096298
"FHOD3","M1",8.00386014906236
"NRAP","M1",7.96810097608504
"MAOB","M1",7.90946706381797
"ABRA","M1",7.89244307196121
"MARCO","M3",7.85493214968679
"MYBPC1","M1",7.82487975485972
"MYL2","M1",7.81005424450344
"TSPAN8","M1",7.75529887701999
"STRA6","M3",7.73864417175304
"SERPIND1","M3",7.73735842115944
"PLP1","M1",7.73632429096955
"LDB3","M1",7.69446627101604
"ART3","M1",7.67829841247292
"NPNT","M1",7.67051733948148
"WNT4","M3",7.66276431695056
"SULT1E1","M3",7.63948510965511
"GFAP","M3",7.63484778990533
"HSPB7","M1",7.62805451125193
"CSF3","M1",7.57683508092223
"FAM150B","M1",7.55124225002983
"PPM1F","M3",7.52956815088289
"ZCCHC13","M3",7.51726853796826
"CHI3L1","M3",7.50125445943349
"XKR4","M1",7.48266153949155
"SLC16A10","M3",7.47847111592808
"TNMD","M1",7.45320524266045
"MGC10981","M2",7.45283697418883
"MYL1","M1",7.4448356443639
"PRG4","M3",7.4338174966491
"SLC45A4","M3",7.41774518830271
"IRX5","M3",7.39182070162813
"LEFTY2","M1",7.38801437359397
"TRIM63","M1",7.37867899440703
"FLJ37644","M1",7.3650398688103
"CCNA1","M3",7.35957413128898
"TTN","M1",7.35728227763912
"SIGLEC1","M3",7.30632690973325
"NDP","M3",7.3021767109346
"IL4I1","M3",7.28647419920827
"PPP1R9A","M1",7.24832940232933
"AREG","M3",7.23652619494229
"CPE","M1",7.22874260788663
"NXF5","M3",7.19387796005902
"ITIH2","M3",7.16951700244621
"TNNC1","M1",7.16119322401767
"MYOZ1","M1",7.1349490950689
"RGS1","M3",7.10117623446651
"CXCL11","M3",7.08548208916961
"PRDM16","M1",7.05091977222112
"CCL3","M3",7.04650383550757
"ST14","M3",7.00705127023261
"GSTT1","M4",6.98368048408448
"LOC100129858","M3",6.9722272163694
"KRT17P3","M3",6.97182452434953
"TM7SF4","M3",6.9690365145592
"SAPS1","M3",6.96544487183988
"PPL","M1",6.94855873984813
"GALNT5","M3",6.94819999927096
"TSPAN11","M1",6.94220597121464
"SUSD5","M1",6.93096722983793
"MEOX1","M1",6.9271408993629
"LOC728264","M1",6.91956098709196
"MYOM1","M1",6.9094603683769
"KLK8","M3",6.88418871010144
"AMPD1","M1",6.86838473620988
"SMPX","M1",6.8377590125295
"TREM1","M3",6.83521663790025
"ANKRD22","M3",6.78490588197007
"DCD","M2",6.76238215872668
"AVPR1A","M1",6.76119110380041
"THRSP","M1",6.74825484236442
"MMP1","M3",6.74344249000213
"RCAN2","M1",6.73282666457466
"SLAMF7","M3",6.72724412954094
"VPS18","M3",6.72638298387098
"UTS2","M3",6.72236620937742
"RYR3","M1",6.72148163352036
"SPEG","M1",6.71704292325383
"IGFL2","M3",6.7156843348672
"AIF1L","M1",6.6910856028896
"GREM1","M3",6.69093716430823
"EREG","M3",6.68078578255478
"OSM","M3",6.67271072939781
"THBS4","M1",6.6480473605745
"TSPAN12","M1",6.63915014399494
"PTCHD1","M1",6.6362719908147
"SLC6A12","M3",6.60325626004239
"STAC2","M1",6.60304111759345
"ADIPOQ","M1",6.59846409932818
"APOD","M1",6.59390446689649
"LILRB1","M3",6.55372622514173
"PTN","M3",6.5520349044765
"IRS4","M3",6.53488122200828
"HFE2","M1",6.5318031031306
"HAVCR2","M3",6.52145727664043
"TSPAN7","M1",6.51068233166574
"CCL20","M3",6.48117462811464
"CIDEA","M1",6.47756722908904
"NEB","M1",6.46091532105167
"LMOD1","M1",6.45774522730771
"TFEC","M3",6.45699591997092
"CKMT2","M1",6.45481903817041
"CCL4","M3",6.42103365588518
"SLC37A2","M3",6.41378206662609
"CXCL9","M3",6.40935657377408
"BAI3","M1",6.39125357802603
"SPARCL1","M1",6.36283183994069
"CD163","M3",6.35979048689849
"XIRP1","M1",6.34734340527236
"LMO3","M1",6.31862956299635
"IGF2BP1","M3",6.31214594939027
"HRC","M1",6.28607816211045
"VAT1L","M1",6.28343937932796
"FAM162B","M1",6.27786138747168
"NNAT","M3",6.25811967696278
"SDS","M3",6.25197161471717
"PCDH8","M1",6.20825017807439
"OGDHL","M3",6.19388738363433
"PCP4","M1",6.18054744970951
"FCGR1B","M3",6.16774738547337
"APOC2","M3",6.16298193860856
"SLAMF8","M3",6.15870262978271
"IL6","M3",6.15692610131605
"TDO2","M3",6.15587080923129
"KCNJ5","M3",6.15243761924907
"COMP","M1",6.13489581293618
"AMZ1","M3",6.13454565683207
"ADAM12","M3",6.12636163571868
"ASB2","M1",6.11462014138638
"C21orf82","M1",6.11237910979487
"PDE6C","M3",6.1122264105102
"PPP1R3C","M1",6.1027921066695
"SLC13A4","M3",6.09598260211859
"LHX6","M1",6.09317242503756
"CTSG","M1",6.09047622766939
"IL1RL1","M3",6.07882698772404
"ACAN","M3",6.0775009140302
"TPSAB1","M1",6.06594486384397
"HAS1","M3",6.05874048700455
"H2BFXP","M3",6.03727261742406
"BIRC5","M3",6.03564006577007
"SIRT4","M2",6.0339316871719
"DNAJC5B","M3",5.9972084264278
"CCR1","M3",5.99485597264227
"CXCR4","M3",5.97356952664399
"OR51E2","M1",5.97153321076297
"CHL1","M1",5.94167756174364
"SORBS2","M1",5.9403135930092
"HOXD8","M1",5.93837467378366
"CRLF1","M1",5.92557775926312
"LILRA3","M3",5.92275067451223
"CAPN6","M1",5.91954412297277
"NTF3","M1",5.91510693422443
"SELE","M1",5.8953267418398
"EMX2OS","M1",5.89191709737375
"SCGB1D1","M2",5.88449614773718
"HPSE","M3",5.87902530930934
"PCSK2","M1",5.87218746355474
"PENK","M3",5.86863527097608
"DPT","M1",5.86808746641972
"EMX2","M1",5.86679465060035
"CD84","M3",5.85048239325963
"ADRA2C","M1",5.84843315097684
"RGS5","M1",5.83378833393274
"CD68","M3",5.82973179605729
"SFRP2","M4",5.82286861612039
"LOC100127998","M3",5.81805295946616
"LAMP3","M3",5.79833874826255
"SYNPO2","M1",5.79460664632851
"IGHG1","M3",5.78513020225466
"HBG1","M1",5.78171029424284
"SNTG2","M1",5.76831914719729
"C1orf173","M3",5.76025192232115
"TEX12","M3",5.76012505390556
"HSPB3","M1",5.7597091851857
"FCGR3B","M3",5.75929148832022
"LOC644135","M3",5.75335467111455
"CPZ","M3",5.74269895465107
"GJB6","M3",5.74134219526993
"APOE","M3",5.71647660490554
"LOC642424","M3",5.70760656948276
"SYT13","M3",5.70489662012529
"C1QC","M3",5.69004525816899
"POSTN","M3",5.68951933489089
"LOC283174","M1",5.67840730312458
"ARL4C","M3",5.67322654260391
"FCGBP","M3",5.65716925726324
"C16orf89","M3",5.64858211328342
"IDO1","M3",5.6248105500912
"C19orf59","M3",5.620605089154
"GBP5","M3",5.609108799788
"KIAA0101","M3",5.60502496866046
"C10orf116","M1",5.60142366459498
