"module","trait","spearman_rho","spearman_p","n_genes"
"M1","stage_code",-0.875998290761166,4.34038053738799e-08,850
"M1","AMPK_SIRT1_score",0.732213438735178,7.12843257532693e-05,850
"M1","Inflammation_score",-0.494071146245059,0.0165641382344269,850
"M1","ECM_score",-0.687747035573123,0.000287196247902754,850
"M2","stage_code",-0.10399495153797,0.636774700757867,72
"M2","AMPK_SIRT1_score",0.156126482213439,0.476847737652847,72
"M2","Inflammation_score",-0.151185770750988,0.491073862454755,72
"M2","ECM_score",-0.16699604743083,0.446302129525607,72
"M3","stage_code",0.79322679872074,6.33259137023219e-06,989
"M3","AMPK_SIRT1_score",-0.74703557312253,4.21390213492749e-05,989
"M3","Inflammation_score",0.662055335968379,0.000579073406889938,989
"M3","ECM_score",0.703557312252964,0.000180039413042007,989
"M4","stage_code",0.0811797325781092,0.712707890347131,65
"M4","AMPK_SIRT1_score",-0.16600790513834,0.449035549107722,65
"M4","Inflammation_score",0.281620553359684,0.192976773267662,65
"M4","ECM_score",0.319169960474308,0.137684237343219,65
"M5","stage_code",-0.157053600281832,0.474201742754069,23
"M5","AMPK_SIRT1_score",0.0217391304347826,0.921571481060845,23
"M5","Inflammation_score",-0.310276679841897,0.149613751033106,23
"M5","ECM_score",-0.212450592885376,0.330439591552701,23
"M6","stage_code",0.0137952486734042,0.950186238000736,1
"M6","AMPK_SIRT1_score",0.0296442687747036,0.893189316460536,1
"M6","Inflammation_score",0.101778656126482,0.644012399414326,1
"M6","ECM_score",-0.0978260869565217,0.656997800586938,1
