"module","signature","overlap_n","module_n","signature_n","p_value","overlap_genes","p_adj"
"M1","Contractile",7,850,7,0.00246905331377695,"MYH11;LMOD1;CNN1;SMTN;MYLK;ACTA2;ACTG2",0.0592572795306468
"M1","AMPK_SIRT1",1,850,1,0.425,"PPARGC1A",1
"M1","Inflammatory",0,850,5,1,"",1
"M1","ECM_Remodeling",0,850,2,1,"",1
"M2","Contractile",0,72,7,1,"",1
"M2","AMPK_SIRT1",0,72,1,1,"",1
"M2","Inflammatory",0,72,5,1,"",1
"M2","ECM_Remodeling",0,72,2,1,"",1
"M3","Contractile",0,989,7,1,"",1
"M3","AMPK_SIRT1",0,989,1,1,"",1
"M3","Inflammatory",5,989,5,0.0294175607373974,"IL1B;CCL2;CXCL2;TNFAIP3;STAT1",0.353010728848769
"M3","ECM_Remodeling",2,989,2,0.244405202601301,"MMP9;COL1A1",1
"M4","Contractile",0,65,7,1,"",1
"M4","AMPK_SIRT1",0,65,1,1,"",1
"M4","Inflammatory",0,65,5,1,"",1
"M4","ECM_Remodeling",0,65,2,1,"",1
"M5","Contractile",0,23,7,1,"",1
"M5","AMPK_SIRT1",0,23,1,1,"",1
"M5","Inflammatory",0,23,5,1,"",1
"M5","ECM_Remodeling",0,23,2,1,"",1
"M6","Contractile",0,1,7,1,"",1
"M6","AMPK_SIRT1",0,1,1,1,"",1
"M6","Inflammatory",0,1,5,1,"",1
"M6","ECM_Remodeling",0,1,2,1,"",1
