"module","gene","module_correlation"
"M1","AMOT",0.956521739130435
"M1","CAND2",0.951581027667984
"M1","NDRG2",0.946640316205534
"M1","PBX1",0.939723320158103
"M1","LYPD6",0.933794466403162
"M1","NR3C2",0.929841897233202
"M1","SYNM",0.927865612648221
"M1","GLI1",0.921936758893281
"M1","C9orf61",0.920948616600791
"M1","LDB3",0.9199604743083
"M1","LOC92973",0.9199604743083
"M1","FAM47E",0.91897233201581
"M1","TPD52L1",0.91897233201581
"M1","SEMA6D",0.91897233201581
"M1","LGI1",0.91798418972332
"M1","KANK1",0.91798418972332
"M1","ZAK",0.91403162055336
"M1","TSPAN7",0.91304347826087
"M1","TSPAN12",0.91030395662627
"M1","MYRIP",0.910079051383399
"M2","PAX4",0.901185770750988
"M2","GNG13",0.898221343873518
"M2","FLJ43093",0.891304347826087
"M2","TDRD10",0.886363636363636
"M2","FLJ35379",0.868577075098814
"M2","LOC442461",0.867588932806324
"M2","MAGEC1",0.858695652173913
"M2","RP5-886K2.1",0.858695652173913
"M2","UPK3A",0.856719367588933
"M2","POTEB",0.853754940711463
"M2","C22orf31",0.853754940711463
"M2","CROCCL2",0.847826086956522
"M2","JAKMIP3",0.83300395256917
"M2","TRIM49",0.816205533596838
"M2","FAM47A",0.816205533596838
"M2","HOXA2",0.812252964426878
"M2","FLJ10232",0.804347826086957
"M2","DUX2",0.797430830039526
"M2","REXO1L1",0.796442687747036
"M2","PRAMEF3",0.795454545454546
"M3","HAVCR2",0.969367588932806
"M3","HCST",0.967391304347826
"M3","TYROBP",0.961462450592885
"M3","IL4I1",0.959486166007905
"M3","RHBDF2",0.956758121622399
"M3","VAMP8",0.956521739130435
"M3","SAMSN1",0.955533596837945
"M3","AIF1",0.955533596837945
"M3","CD300C",0.952569169960474
"M3","GMIP",0.951581027667984
"M3","CYBB",0.951581027667984
"M3","LST1",0.950592885375494
"M3","KYNU",0.949604743083004
"M3","GPR132",0.949604743083004
"M3","PTPN6",0.945652173913043
"M3","CSTA",0.945652173913043
"M3","NPL",0.944664031620553
"M3","LAIR1",0.944664031620553
"M3","NLRC4",0.944664031620553
"M3","LRRC25",0.944664031620553
"M4","ENPP6",0.873517786561265
"M4","DACT2",0.866600790513834
"M4","FAM134B",0.861660079051383
"M4","NEBL",0.858695652173913
"M4","MAP1LC3C",0.846837944664032
"M4","SCN2B",0.83596837944664
"M4","CFI",0.83498023715415
"M4","CH25H",0.826086956521739
"M4","HS6ST2",0.815217391304348
"M4","CRABP1",0.800395256916996
"M4","IGF2",0.793478260869565
"M4","SLC16A12",0.791501976284585
"M4","COL4A3",0.786561264822134
"M4","TMEM132C",0.778656126482213
"M4","ADAMTSL3",0.775691699604743
"M4","EPHA7",0.772727272727273
"M4","ANO3",0.769762845849802
"M4","PTGDS",0.766798418972332
"M4","SLC13A3",0.763833992094862
"M4","C13orf36",0.758893280632411
"M5","GAB1",0.58399209486166
"M5","SLITRK3",0.576086956521739
"M5","PARD6A",0.487154150197628
"M5","C21orf90",0.422924901185771
"M5","BTNL3",0.407114624505929
"M5","PDE10A",0.403162055335968
"M5","DCLK3",0.402173913043478
"M5","FAM150A",0.400197628458498
"M5","FRS3",0.399209486166008
"M5","LYRM5",0.382411067193676
"M5","C10orf79",0.375494071146245
"M5","CAMKV",0.364624505928854
"M5","LOC100128185",0.276679841897233
"M5","GTF2H4",0.24604743083004
"M5","RHOXF2",0.213491481684337
"M5","HHLA2",-0.200592885375494
"M5","AADAC",0.179841897233202
"M5","STARD6",0.117588932806324
"M5","UHRF1BP1",-0.114652832756403
"M5","C3orf57",0.0711638272281123
"M6","TMCO5A",1
