status,AMPK_quartile,cells,mean_AMPK,fate,mean_probability
STA,Q1 low,2363,-0.20345671176418767,contractile VSMC,0.20704398496041693
STA,Q1 low,2363,-0.20345671176418767,synthetic VSMC,0.25712016318158
STA,Q1 low,2363,-0.20345671176418767,inflammatory VSMC,0.11357202569892316
STA,Q1 low,2363,-0.20345671176418767,ECM-remodeling VSMC,0.19586790242601343
STA,Q1 low,2363,-0.20345671176418767,metabolic-stress VSMC,0.22639592373306647
STA,Q2,2361,-0.08736961722298882,contractile VSMC,0.2090186916590116
STA,Q2,2361,-0.08736961722298882,synthetic VSMC,0.2569555809645851
STA,Q2,2361,-0.08736961722298882,inflammatory VSMC,0.09580658324971471
STA,Q2,2361,-0.08736961722298882,ECM-remodeling VSMC,0.20013981413843868
STA,Q2,2361,-0.08736961722298882,metabolic-stress VSMC,0.23807932998824996
STA,Q3,2158,0.008863549548133362,contractile VSMC,0.20740313998152146
STA,Q3,2158,0.008863549548133362,synthetic VSMC,0.2467859332105116
STA,Q3,2158,0.008863549548133362,inflammatory VSMC,0.1072120787885662
STA,Q3,2158,0.008863549548133362,ECM-remodeling VSMC,0.19716882039884176
STA,Q3,2158,0.008863549548133362,metabolic-stress VSMC,0.24143002762055898
STA,Q4 high,1847,0.16690334166096094,contractile VSMC,0.20969931264987632
STA,Q4 high,1847,0.16690334166096094,synthetic VSMC,0.2338362145907113
STA,Q4 high,1847,0.16690334166096094,inflammatory VSMC,0.10786349904124166
STA,Q4 high,1847,0.16690334166096094,ECM-remodeling VSMC,0.21764265452901752
STA,Q4 high,1847,0.16690334166096094,metabolic-stress VSMC,0.23095831918915322
Ruptured,Q1 low,555,-0.19046735439674586,contractile VSMC,0.14448961402895164
Ruptured,Q1 low,555,-0.19046735439674586,synthetic VSMC,0.11210505847792057
Ruptured,Q1 low,555,-0.19046735439674586,inflammatory VSMC,0.49811628792190726
Ruptured,Q1 low,555,-0.19046735439674586,ECM-remodeling VSMC,0.11188037038745999
Ruptured,Q1 low,555,-0.19046735439674586,metabolic-stress VSMC,0.13340866918376057
Ruptured,Q2,557,-0.08577420050788957,contractile VSMC,0.12524587109039817
Ruptured,Q2,557,-0.08577420050788957,synthetic VSMC,0.1006376085775006
Ruptured,Q2,557,-0.08577420050788957,inflammatory VSMC,0.5372830199525424
Ruptured,Q2,557,-0.08577420050788957,ECM-remodeling VSMC,0.10421919780947393
Ruptured,Q2,557,-0.08577420050788957,metabolic-stress VSMC,0.13261430257008494
Ruptured,Q3,760,0.011748093300506945,contractile VSMC,0.11318226555157432
Ruptured,Q3,760,0.011748093300506945,synthetic VSMC,0.10022932804392069
Ruptured,Q3,760,0.011748093300506945,inflammatory VSMC,0.5613207515941102
Ruptured,Q3,760,0.011748093300506945,ECM-remodeling VSMC,0.0962207940151162
Ruptured,Q3,760,0.011748093300506945,metabolic-stress VSMC,0.12904686079527855
Ruptured,Q4 high,1070,0.19754166945723411,contractile VSMC,0.10960214574715559
Ruptured,Q4 high,1070,0.19754166945723411,synthetic VSMC,0.09173164573844728
Ruptured,Q4 high,1070,0.19754166945723411,inflammatory VSMC,0.5835004055269278
Ruptured,Q4 high,1070,0.19754166945723411,ECM-remodeling VSMC,0.09642237439881712
Ruptured,Q4 high,1070,0.19754166945723411,metabolic-stress VSMC,0.11874342858865218
