sample,status,fate,within-sample low,within-sample high,delta_high_minus_low
ACom_RR,Ruptured,contractile VSMC,0.10281146811128632,0.09784654584638573,-0.004964922264900584
ACom_RR,Ruptured,synthetic VSMC,0.08373403463679929,0.08027277310828079,-0.0034612615285185
ACom_RR,Ruptured,inflammatory VSMC,0.6134217699087782,0.6264697334368781,0.013047963528099893
ACom_RR,Ruptured,ECM-remodeling VSMC,0.0876062402594337,0.0854604188003556,-0.002145821459078101
ACom_RR,Ruptured,metabolic-stress VSMC,0.11242648708370254,0.10995052880809981,-0.0024759582756027215
MCA_R1,Ruptured,contractile VSMC,0.09171925179038112,0.09344451392319311,0.0017252621328119888
MCA_R1,Ruptured,synthetic VSMC,0.07745857291867729,0.07759152330408318,1.3295038540589443e-4
MCA_R1,Ruptured,inflammatory VSMC,0.6294873025288549,0.6231201553492755,-0.006367147179579424
MCA_R1,Ruptured,ECM-remodeling VSMC,0.09254911057983584,0.09281963624379119,2.705256639553566e-4
MCA_R1,Ruptured,metabolic-stress VSMC,0.10878576218225089,0.11302417117965705,0.004238408997406157
MCA_R2,Ruptured,contractile VSMC,0.15863285204502098,0.13181915668574384,-0.026813695359277134
MCA_R2,Ruptured,synthetic VSMC,0.12742977286202456,0.11404731998366806,-0.013382452878356502
MCA_R2,Ruptured,inflammatory VSMC,0.4421336602618315,0.5086392353073383,0.06650557504550686
MCA_R2,Ruptured,ECM-remodeling VSMC,0.12013192696321098,0.10835344281530544,-0.01177848414790554
MCA_R2,Ruptured,metabolic-stress VSMC,0.15167178786791205,0.13714084520794426,-0.014530942659967794
PICA_U,Ruptured,contractile VSMC,0.08748404071090081,0.08146729618742435,-0.006016744523476461
PICA_U,Ruptured,synthetic VSMC,0.08384151968130878,0.06814428724893186,-0.015697232432376917
PICA_U,Ruptured,inflammatory VSMC,0.6210693800098366,0.6607687081477984,0.03969932813796184
PICA_U,Ruptured,ECM-remodeling VSMC,0.10306193020587202,0.09148274849444067,-0.011579181711431352
PICA_U,Ruptured,metabolic-stress VSMC,0.10454312939208187,0.09813695992140477,-0.006406169470677098
STA1,STA,contractile VSMC,0.21111200539700994,0.21169783802526343,5.858326282534854e-4
STA1,STA,synthetic VSMC,0.25630328096184,0.2276485620225651,-0.02865471893927493
STA1,STA,inflammatory VSMC,0.08337678628078948,0.09020389303416798,0.006827106753378498
STA1,STA,ECM-remodeling VSMC,0.20744838374436528,0.21747245455003497,0.010024070805669694
STA1,STA,metabolic-stress VSMC,0.24175954361599528,0.25297725236796853,0.011217708751973254
STA2,STA,contractile VSMC,0.2038615095605731,0.20444870591569253,5.871963551194181e-4
STA2,STA,synthetic VSMC,0.2625369713530692,0.2542658943129081,-0.008271077040161112
STA2,STA,inflammatory VSMC,0.13347243369407435,0.11599383981940037,-0.017478593874673987
STA2,STA,ECM-remodeling VSMC,0.18201202673419706,0.20044284606866583,0.018430819334468773
STA2,STA,metabolic-stress VSMC,0.2181170586580863,0.22484871388333316,0.006731655225246852
STA3,STA,contractile VSMC,0.30053415927127064,0.2716717072548142,-0.02886245201645643
STA3,STA,synthetic VSMC,0.1219852759917456,0.15859830789015142,0.03661303189840581
STA3,STA,inflammatory VSMC,0.10776067203630148,0.1036797669641053,-0.004080905072196175
STA3,STA,ECM-remodeling VSMC,0.24411174585619058,0.23381760551774722,-0.010294140338443364
STA3,STA,metabolic-stress VSMC,0.2256081468444917,0.23223261237318182,0.0066244655286901155
