signature,variable,rho,p,cells,p_adj_BH
Core_AMPK_SIRT1,vsmc_Contractile,-0.09209105510425313,2.084392542990645e-23,11671,6.94797514330215e-23
Core_AMPK_SIRT1,vsmc_Inflammatory,0.02819350237665371,0.002318376373172093,11671,0.0028979704664651162
Core_AMPK_SIRT1,vsmc_ECM_Remodeling,-0.03353487584844837,2.906609192702832e-4,11671,4.1522988467183316e-4
Core_AMPK_SIRT1,vsmc_Metabolic_Stress,0.09548303899480595,4.754093870826756e-25,11671,1.9016375483307023e-24
Core_AMPK_SIRT1,Inflammation_Score,0.012348493526597632,0.1822217540018534,11671,0.2024686155576149
AMPK_SIRT1_with_antioxidant,vsmc_Contractile,-0.05123169907022254,3.0642198576458166e-8,11671,5.571308832083303e-8
AMPK_SIRT1_with_antioxidant,vsmc_Inflammatory,0.028843613456688743,0.001830989487231312,11671,0.002441319316308416
AMPK_SIRT1_with_antioxidant,vsmc_ECM_Remodeling,-0.004255733706148318,0.645724409019155,11671,0.645724409019155
AMPK_SIRT1_with_antioxidant,vsmc_Metabolic_Stress,0.23651792171258532,4.2376013234374954e-148,11671,4.237601323437495e-147
AMPK_SIRT1_with_antioxidant,Inflammation_Score,0.01027197543363918,0.2671642761753891,11671,0.28122555386883064
Antioxidant_stress_response,vsmc_Contractile,0.0498498096391648,7.117960566123151e-8,11671,1.1863267610205252e-7
Antioxidant_stress_response,vsmc_Inflammatory,-0.11345484818798564,9.611517302666371e-35,11671,6.407678201777581e-34
Antioxidant_stress_response,vsmc_ECM_Remodeling,0.07386040273491912,1.3562367873282485e-15,11671,2.712473574656497e-15
Antioxidant_stress_response,vsmc_Metabolic_Stress,0.5821788147112603,0,11671,0
Antioxidant_stress_response,Inflammation_Score,-0.08430490790800402,7.312021407953414e-20,11671,1.8280053519883536e-19
Mito_homeostasis,vsmc_Contractile,-0.08418210017135123,8.269150489669124e-20,11671,1.8375889977042498e-19
Mito_homeostasis,vsmc_Inflammatory,-0.10566357641130036,2.4647543859793114e-30,11671,1.2323771929896557e-29
Mito_homeostasis,vsmc_ECM_Remodeling,-0.01425360106953352,0.12361787803144828,11671,0.14543279768405679
Mito_homeostasis,vsmc_Metabolic_Stress,0.04126695813642584,8.211631347514951e-6,11671,1.2633278996176848e-5
Mito_homeostasis,Inflammation_Score,-0.08944788892874225,3.6085734786944007e-22,11671,1.031020993912686e-21
