tf,vsmc_state,STA,Ruptured,delta_Ruptured_minus_STA
NFKB1,metabolic-stress VSMC,-2.864434027430049,0.900896661202472,3.7653306886325213
NFKB1,contractile VSMC,-2.5641449570893937,0.8886941580352588,3.4528391151246525
JUN,metabolic-stress VSMC,-0.9524272617365205,2.4475162830883894,3.39994354482491
JUN,contractile VSMC,-1.093137535708259,2.2785178859525024,3.371655421660761
RELA,metabolic-stress VSMC,-1.8408815238017078,1.5301903381279929,3.3710718619297007
NFKB1,synthetic VSMC,-2.8296387543629264,0.396771330289348,3.2264100846522745
JUN,synthetic VSMC,-0.9579257970622096,2.24447608659978,3.2024018836619894
RELA,contractile VSMC,-1.702816056305571,1.1658784735281826,2.8686945298337534
ETS1,contractile VSMC,-1.527955401890682,0.910462712409466,2.438418114300148
FOS,synthetic VSMC,-1.3423692855470415,0.9314071382280169,2.2737764237750584
RELA,synthetic VSMC,-1.837164818710459,0.429744758209806,2.266909576920265
ETS1,metabolic-stress VSMC,-1.7642434160201645,0.5004901440706544,2.2647335600908187
FOXO3,synthetic VSMC,3.313024387594476,1.10141867594932,-2.2116057116451557
FOS,metabolic-stress VSMC,-1.287856839677448,0.7892316557274788,2.0770884954049267
ETS1,synthetic VSMC,-1.6244117554439108,0.416917604573272,2.041329360017183
FOS,contractile VSMC,-1.2731096241690631,0.6867577031549206,1.9598673273239837
CEBPD,metabolic-stress VSMC,0.4747849822207169,2.3148079195428917,1.8400229373221748
REL,metabolic-stress VSMC,-1.5681353662757975,0.14015949886744053,1.7082948651432381
REL,synthetic VSMC,-1.4376139615485262,0.201599649667207,1.6392136112157332
JUNB,metabolic-stress VSMC,4.5065974344867294,6.022267007589388,1.5156695731026586
FOXO3,contractile VSMC,3.2505595768433992,1.7674943100816463,-1.483065266761753
REL,contractile VSMC,-1.0985703785804881,0.29811939414032407,1.396689772720812
KLF4,metabolic-stress VSMC,-0.23440902279218262,1.124321771432567,1.3587307942247497
FOXO1,synthetic VSMC,0.08215802848696716,-1.07743878146512,-1.1595968099520872
CEBPD,contractile VSMC,0.5645951449281512,1.72136969170629,1.1567745467781387
STAT1,metabolic-stress VSMC,0.8014817110155138,-0.3473889964703666,-1.1488707074858804
JUNB,contractile VSMC,4.541925691339637,5.598676727659164,1.0567510363195272
FOSL2,inflammatory VSMC,-0.10042884763369374,-1.1323558595016157,-1.031927011867922
FOS,inflammatory VSMC,-0.5465254533023414,0.38564546939620303,0.9321709226985444
FOXO3,inflammatory VSMC,3.415149878975507,2.590974387321229,-0.8241754916542781
ELF1,synthetic VSMC,4.550475572902636,3.7282281933283694,-0.8222473795742666
KLF4,contractile VSMC,0.09286473767388934,0.912294875382102,0.8194301377082126
NFKB1,inflammatory VSMC,0.1387975657915134,0.9440633760873814,0.8052658102958681
RELA,inflammatory VSMC,1.2547715361692844,1.9643200837917023,0.7095485476224179
IRF1,inflammatory VSMC,0.35776464605948544,-0.32960367888303704,-0.6873683249425224
KLF4,synthetic VSMC,-0.20887550668906604,0.403407268771288,0.612282775460354
FOSL2,synthetic VSMC,-0.5696379536970246,0.0360212949317142,0.6056592486287389
JUN,inflammatory VSMC,-0.6136521624406854,-0.009161409543828256,0.6044907528968572
FOXO3,metabolic-stress VSMC,3.0036204529464228,2.463513151422527,-0.540107301523896
FOSL2,contractile VSMC,-0.5534786932665938,-0.042966412331525275,0.5105122809350685
ELF1,metabolic-stress VSMC,4.316608105543889,4.796136510065552,0.47952840452166345
REL,inflammatory VSMC,2.285008195836487,1.8140769874891907,-0.4709312083472963
STAT3,synthetic VSMC,2.3348601683496155,2.75057053849223,0.4157103701426146
FOXO1,contractile VSMC,0.14475131148501855,-0.2508980748246546,-0.39564938630967317
STAT3,inflammatory VSMC,1.6006199263902339,1.210210636632097,-0.3904092897581368
FOXO1,inflammatory VSMC,-0.7945838028504393,-0.4068052768458033,0.38777852600463597
CEBPD,synthetic VSMC,0.5869192407642785,0.934923408364269,0.34800416759999053
STAT1,synthetic VSMC,0.3004495385215214,-0.0377019397962396,-0.338151478317761
CEBPD,inflammatory VSMC,1.2568014927579656,0.9604519537461556,-0.29634953901181005
STAT1,inflammatory VSMC,-0.31351759315204436,-0.022182818097608074,0.2913347750544363
JUNB,synthetic VSMC,4.744563149485336,5.03552208762629,0.2909589381409532
ELF1,contractile VSMC,4.332260581380796,4.549303416703157,0.21704283532236168
ETS1,inflammatory VSMC,1.336118993904858,1.5005713969543804,0.16445240304952224
STAT1,contractile VSMC,0.6666486005663701,0.8104851709963959,0.14383657043002585
IRF1,metabolic-stress VSMC,-1.1191485383954063,-1.2522542148958393,-0.13310567650043303
IRF1,synthetic VSMC,-1.18089500384944,-1.06567388702605,0.11522111682338987
ELF1,inflammatory VSMC,6.174784735115107,6.288118087022535,0.11333335190742755
STAT3,metabolic-stress VSMC,2.8488136245710654,2.956912109272428,0.10809848470136263
IRF1,contractile VSMC,-0.9279571929538836,-0.8469124113861198,0.08104478156776374
JUNB,inflammatory VSMC,4.764951142628504,4.8406365694661195,0.07568542683761592
FOSL2,metabolic-stress VSMC,-0.3548496033256715,-0.40887297975496956,-0.05402337642929805
STAT3,contractile VSMC,2.899191600390346,2.847660929747998,-0.05153067064234795
FOXO1,metabolic-stress VSMC,-0.1837028525795474,-0.22980369371391715,-0.04610084113436974
KLF4,inflammatory VSMC,-0.42063897139610573,-0.46074052941666827,-0.04010155802056253
CEBPD,ECM-remodeling VSMC,0.30288577221726815,NA,NA
ELF1,ECM-remodeling VSMC,4.589618393551331,NA,NA
ETS1,ECM-remodeling VSMC,-2.3238640682666225,NA,NA
FOS,ECM-remodeling VSMC,-2.058092581651868,NA,NA
FOSL2,ECM-remodeling VSMC,-0.5788478966177089,NA,NA
FOXO1,ECM-remodeling VSMC,-0.14319287658311464,NA,NA
FOXO3,ECM-remodeling VSMC,3.007178558082803,NA,NA
IRF1,ECM-remodeling VSMC,-1.431169241372216,NA,NA
JUN,ECM-remodeling VSMC,-1.9374523122350031,NA,NA
JUNB,ECM-remodeling VSMC,4.5487112461230215,NA,NA
KLF4,ECM-remodeling VSMC,-0.5211829008052931,NA,NA
NFKB1,ECM-remodeling VSMC,-3.8955143689860825,NA,NA
REL,ECM-remodeling VSMC,-1.6383845264176264,NA,NA
RELA,ECM-remodeling VSMC,-2.8573655523480874,NA,NA
STAT1,ECM-remodeling VSMC,0.28027784336687184,NA,NA
STAT3,ECM-remodeling VSMC,2.2517236256038604,NA,NA
