tf,status,vsmc_state,mean_NES
CEBPD,STA,contractile VSMC,0.5645951449281512
CEBPD,STA,synthetic VSMC,0.5869192407642785
CEBPD,STA,inflammatory VSMC,1.2568014927579656
CEBPD,STA,ECM-remodeling VSMC,0.30288577221726815
CEBPD,STA,metabolic-stress VSMC,0.4747849822207169
CEBPD,Ruptured,contractile VSMC,1.72136969170629
CEBPD,Ruptured,synthetic VSMC,0.934923408364269
CEBPD,Ruptured,inflammatory VSMC,0.9604519537461556
CEBPD,Ruptured,metabolic-stress VSMC,2.3148079195428917
ELF1,STA,contractile VSMC,4.332260581380796
ELF1,STA,synthetic VSMC,4.550475572902636
ELF1,STA,inflammatory VSMC,6.174784735115107
ELF1,STA,ECM-remodeling VSMC,4.589618393551331
ELF1,STA,metabolic-stress VSMC,4.316608105543889
ELF1,Ruptured,contractile VSMC,4.549303416703157
ELF1,Ruptured,synthetic VSMC,3.7282281933283694
ELF1,Ruptured,inflammatory VSMC,6.288118087022535
ELF1,Ruptured,metabolic-stress VSMC,4.796136510065552
ETS1,STA,contractile VSMC,-1.527955401890682
ETS1,STA,synthetic VSMC,-1.6244117554439108
ETS1,STA,inflammatory VSMC,1.336118993904858
ETS1,STA,ECM-remodeling VSMC,-2.3238640682666225
ETS1,STA,metabolic-stress VSMC,-1.7642434160201645
ETS1,Ruptured,contractile VSMC,0.910462712409466
ETS1,Ruptured,synthetic VSMC,0.416917604573272
ETS1,Ruptured,inflammatory VSMC,1.5005713969543804
ETS1,Ruptured,metabolic-stress VSMC,0.5004901440706544
FOS,STA,contractile VSMC,-1.2731096241690631
FOS,STA,synthetic VSMC,-1.3423692855470415
FOS,STA,inflammatory VSMC,-0.5465254533023414
FOS,STA,ECM-remodeling VSMC,-2.058092581651868
FOS,STA,metabolic-stress VSMC,-1.287856839677448
FOS,Ruptured,contractile VSMC,0.6867577031549206
FOS,Ruptured,synthetic VSMC,0.9314071382280169
FOS,Ruptured,inflammatory VSMC,0.38564546939620303
FOS,Ruptured,metabolic-stress VSMC,0.7892316557274788
FOSL2,STA,contractile VSMC,-0.5534786932665938
FOSL2,STA,synthetic VSMC,-0.5696379536970246
FOSL2,STA,inflammatory VSMC,-0.10042884763369374
FOSL2,STA,ECM-remodeling VSMC,-0.5788478966177089
FOSL2,STA,metabolic-stress VSMC,-0.3548496033256715
FOSL2,Ruptured,contractile VSMC,-0.042966412331525275
FOSL2,Ruptured,synthetic VSMC,0.0360212949317142
FOSL2,Ruptured,inflammatory VSMC,-1.1323558595016157
FOSL2,Ruptured,metabolic-stress VSMC,-0.40887297975496956
FOXO1,STA,contractile VSMC,0.14475131148501855
FOXO1,STA,synthetic VSMC,0.08215802848696716
FOXO1,STA,inflammatory VSMC,-0.7945838028504393
FOXO1,STA,ECM-remodeling VSMC,-0.14319287658311464
FOXO1,STA,metabolic-stress VSMC,-0.1837028525795474
FOXO1,Ruptured,contractile VSMC,-0.2508980748246546
FOXO1,Ruptured,synthetic VSMC,-1.07743878146512
FOXO1,Ruptured,inflammatory VSMC,-0.4068052768458033
FOXO1,Ruptured,metabolic-stress VSMC,-0.22980369371391715
FOXO3,STA,contractile VSMC,3.2505595768433992
FOXO3,STA,synthetic VSMC,3.313024387594476
FOXO3,STA,inflammatory VSMC,3.415149878975507
FOXO3,STA,ECM-remodeling VSMC,3.007178558082803
FOXO3,STA,metabolic-stress VSMC,3.0036204529464228
FOXO3,Ruptured,contractile VSMC,1.7674943100816463
FOXO3,Ruptured,synthetic VSMC,1.10141867594932
FOXO3,Ruptured,inflammatory VSMC,2.590974387321229
FOXO3,Ruptured,metabolic-stress VSMC,2.463513151422527
IRF1,STA,contractile VSMC,-0.9279571929538836
IRF1,STA,synthetic VSMC,-1.18089500384944
IRF1,STA,inflammatory VSMC,0.35776464605948544
IRF1,STA,ECM-remodeling VSMC,-1.431169241372216
IRF1,STA,metabolic-stress VSMC,-1.1191485383954063
IRF1,Ruptured,contractile VSMC,-0.8469124113861198
IRF1,Ruptured,synthetic VSMC,-1.06567388702605
IRF1,Ruptured,inflammatory VSMC,-0.32960367888303704
IRF1,Ruptured,metabolic-stress VSMC,-1.2522542148958393
JUN,STA,contractile VSMC,-1.093137535708259
JUN,STA,synthetic VSMC,-0.9579257970622096
JUN,STA,inflammatory VSMC,-0.6136521624406854
JUN,STA,ECM-remodeling VSMC,-1.9374523122350031
JUN,STA,metabolic-stress VSMC,-0.9524272617365205
JUN,Ruptured,contractile VSMC,2.2785178859525024
JUN,Ruptured,synthetic VSMC,2.24447608659978
JUN,Ruptured,inflammatory VSMC,-0.009161409543828256
JUN,Ruptured,metabolic-stress VSMC,2.4475162830883894
JUNB,STA,contractile VSMC,4.541925691339637
