regulon,regulon_tf,status,vsmc_state,mean_AUC
CEBPD (45g),CEBPD,STA,contractile VSMC,0.129409652076319
CEBPD (45g),CEBPD,STA,synthetic VSMC,0.122472502805836
CEBPD (45g),CEBPD,STA,inflammatory VSMC,0.0137934904601571
CEBPD (45g),CEBPD,STA,ECM-remodeling VSMC,0.137159371492705
CEBPD (45g),CEBPD,STA,metabolic-stress VSMC,0.13683164983165
CEBPD (45g),CEBPD,Ruptured,contractile VSMC,0.0672134185895654
CEBPD (45g),CEBPD,Ruptured,synthetic VSMC,0.0814582607686056
CEBPD (45g),CEBPD,Ruptured,inflammatory VSMC,0.00926599326599327
CEBPD (45g),CEBPD,Ruptured,ECM-remodeling VSMC,0.0691217732884399
CEBPD (45g),CEBPD,Ruptured,metabolic-stress VSMC,0.0586731512657439
ELF1 (28g),ELF1,STA,contractile VSMC,0.00127037392138063
ELF1 (28g),ELF1,STA,synthetic VSMC,5.0495365931607e-4
ELF1 (28g),ELF1,STA,inflammatory VSMC,0.109797059763503
ELF1 (28g),ELF1,STA,ECM-remodeling VSMC,0.00249920102269096
ELF1 (28g),ELF1,STA,metabolic-stress VSMC,2.0613614573346e-4
ELF1 (28g),ELF1,Ruptured,contractile VSMC,0.00584939351025183
ELF1 (28g),ELF1,Ruptured,synthetic VSMC,0.00414917181869276
ELF1 (28g),ELF1,Ruptured,inflammatory VSMC,0.12834451901566
ELF1 (28g),ELF1,Ruptured,ECM-remodeling VSMC,0.00812959411952701
ELF1 (28g),ELF1,Ruptured,metabolic-stress VSMC,0.00284524697276375
ETS1 (114g),ETS1,STA,contractile VSMC,0.00374191351719442
ETS1 (114g),ETS1,STA,synthetic VSMC,0.00269322437861764
ETS1 (114g),ETS1,STA,inflammatory VSMC,0.242728975144705
ETS1 (114g),ETS1,STA,ECM-remodeling VSMC,0.00292560435818863
ETS1 (114g),ETS1,STA,metabolic-stress VSMC,0.00185478379298604
ETS1 (114g),ETS1,Ruptured,contractile VSMC,0.0183650232871963
ETS1 (114g),ETS1,Ruptured,synthetic VSMC,0.0121693494417245
ETS1 (114g),ETS1,Ruptured,inflammatory VSMC,0.241506639427988
ETS1 (114g),ETS1,Ruptured,ECM-remodeling VSMC,0.0153004766768812
ETS1 (114g),ETS1,Ruptured,metabolic-stress VSMC,0.0167428025574093
FOXO1 (60g),FOXO1,STA,contractile VSMC,0.0127122507122507
FOXO1 (60g),FOXO1,STA,synthetic VSMC,0.0159553656220323
