"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status"
"VSMC","Macrophage","TGFB1","TGFbR1_R2",4.62212411996564e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"Macrophage","Macrophage","TGFB1","TGFbR1_R2",0.000298820494332917,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"EC","Macrophage","TGFB1","TGFbR1_R2",5.77502020567412e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"T_NK","Macrophage","TGFB1","TGFbR1_R2",0.000295246282441507,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"VSMC","Fibroblast","TGFB1","TGFbR1_R2",3.43581022771576e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"Macrophage","Fibroblast","TGFB1","TGFbR1_R2",0.000221228113294053,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"EC","Fibroblast","TGFB1","TGFbR1_R2",4.29537733480203e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"T_NK","Fibroblast","TGFB1","TGFbR1_R2",0.000218374594971685,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350","STA"
"Fibroblast","EC","WNT11","FZD4",4.68779681678121e-05,0,"WNT11_FZD4","WNT11 - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310","STA"
"Fibroblast","EC","WNT11","FZD6",0.000102623318420143,0,"WNT11_FZD6","WNT11 - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310","STA"
