"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status","axis","lr_axis","focus_hit"
"Fibroblast","VSMC","FN1","ITGAV_ITGB1",0.00714018455534986,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","FN1-ITGAV_ITGB1",TRUE
"Fibroblast","VSMC","FN1","CD44",0.0058619491846346,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","FN1-CD44",TRUE
"Macrophage","VSMC","FN1","ITGAV_ITGB1",0.00418971526245781,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","Ruptured","Macrophage -> VSMC","FN1-ITGAV_ITGB1",TRUE
"Fibroblast","VSMC","COL1A2","ITGA1_ITGB1",0.00379296829327902,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL1A2-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL1A2","CD44",0.00359753181846978,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL1A2-CD44",TRUE
"Fibroblast","VSMC","COL1A1","ITGA1_ITGB1",0.00358842016139237,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL1A1-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL1A1","CD44",0.00340269325535574,0.02,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL1A1-CD44",TRUE
"Fibroblast","VSMC","FN1","ITGA5_ITGB1",0.00321649476574612,0,"FN1_ITGA5_ITGB1","FN1 - (ITGA5+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","FN1-ITGA5_ITGB1",TRUE
"Fibroblast","VSMC","COL4A2","ITGA1_ITGB1",0.00282274970765953,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL4A2-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL4A2","CD44",0.00267421076278058,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL4A2-CD44",TRUE
