"tf","tf_group","NES","sample","status","vsmc_state","cells"
"AHR","ACom-RR--Ruptured--contractile VSMC",3.68526931621201,"ACom_RR","Ruptured","contractile VSMC",32
"AHR","ACom-RR--Ruptured--inflammatory VSMC",2.99089075372278,"ACom_RR","Ruptured","inflammatory VSMC",945
"AHR","ACom-RR--Ruptured--metabolic-stress VSMC",3.7365343385942,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"AHR","MCA-R1--Ruptured--inflammatory VSMC",3.054102364533,"MCA_R1","Ruptured","inflammatory VSMC",534
"AHR","MCA-R2--Ruptured--contractile VSMC",4.21094274972333,"MCA_R2","Ruptured","contractile VSMC",182
"AHR","MCA-R2--Ruptured--inflammatory VSMC",3.20992505256116,"MCA_R2","Ruptured","inflammatory VSMC",1078
"AHR","MCA-R2--Ruptured--metabolic-stress VSMC",5.07597850517979,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"AHR","MCA-R2--Ruptured--synthetic VSMC",4.78808338226364,"MCA_R2","Ruptured","synthetic VSMC",29
"AHR","STA1--STA--ECM-remodeling VSMC",4.04762542310993,"STA1","STA","ECM-remodeling VSMC",637
"AHR","STA1--STA--contractile VSMC",2.86846351145833,"STA1","STA","contractile VSMC",1019
"AHR","STA1--STA--inflammatory VSMC",2.53715477456198,"STA1","STA","inflammatory VSMC",148
"AHR","STA1--STA--metabolic-stress VSMC",2.94834363479272,"STA1","STA","metabolic-stress VSMC",1432
"AHR","STA1--STA--synthetic VSMC",3.47619512159241,"STA1","STA","synthetic VSMC",1049
"AHR","STA2--STA--ECM-remodeling VSMC",4.87698046046326,"STA2","STA","ECM-remodeling VSMC",459
"AHR","STA2--STA--contractile VSMC",4.22005325182007,"STA2","STA","contractile VSMC",989
"AHR","STA2--STA--inflammatory VSMC",2.90232683071013,"STA2","STA","inflammatory VSMC",378
"AHR","STA2--STA--metabolic-stress VSMC",4.11112142960274,"STA2","STA","metabolic-stress VSMC",943
"AHR","STA2--STA--synthetic VSMC",4.6850696762406,"STA2","STA","synthetic VSMC",1620
"AHR","STA3--STA--contractile VSMC",4.44846816430474,"STA3","STA","contractile VSMC",25
"AR","ACom-RR--Ruptured--contractile VSMC",3.03055020896518,"ACom_RR","Ruptured","contractile VSMC",32
"AR","ACom-RR--Ruptured--inflammatory VSMC",0.959308111588178,"ACom_RR","Ruptured","inflammatory VSMC",945
"AR","ACom-RR--Ruptured--metabolic-stress VSMC",3.05877059285067,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"AR","MCA-R1--Ruptured--inflammatory VSMC",0.884207598060799,"MCA_R1","Ruptured","inflammatory VSMC",534
"AR","MCA-R2--Ruptured--contractile VSMC",2.9326651299404,"MCA_R2","Ruptured","contractile VSMC",182
"AR","MCA-R2--Ruptured--inflammatory VSMC",0.978018294207643,"MCA_R2","Ruptured","inflammatory VSMC",1078
"AR","MCA-R2--Ruptured--metabolic-stress VSMC",2.96554139380195,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"AR","MCA-R2--Ruptured--synthetic VSMC",2.77221977427661,"MCA_R2","Ruptured","synthetic VSMC",29
"AR","STA1--STA--ECM-remodeling VSMC",2.03325849813081,"STA1","STA","ECM-remodeling VSMC",637
"AR","STA1--STA--contractile VSMC",2.5289813610025,"STA1","STA","contractile VSMC",1019
"AR","STA1--STA--inflammatory VSMC",1.48890218036059,"STA1","STA","inflammatory VSMC",148
"AR","STA1--STA--metabolic-stress VSMC",2.45805581072112,"STA1","STA","metabolic-stress VSMC",1432
"AR","STA1--STA--synthetic VSMC",2.40200222203088,"STA1","STA","synthetic VSMC",1049
"AR","STA2--STA--ECM-remodeling VSMC",3.09254350536187,"STA2","STA","ECM-remodeling VSMC",459
"AR","STA2--STA--contractile VSMC",3.25052856074463,"STA2","STA","contractile VSMC",989
"AR","STA2--STA--inflammatory VSMC",2.09738620198533,"STA2","STA","inflammatory VSMC",378
"AR","STA2--STA--metabolic-stress VSMC",3.0811527873998,"STA2","STA","metabolic-stress VSMC",943
"AR","STA2--STA--synthetic VSMC",3.0484834259216,"STA2","STA","synthetic VSMC",1620
"AR","STA3--STA--contractile VSMC",2.39205782970185,"STA3","STA","contractile VSMC",25
"ARID2","ACom-RR--Ruptured--contractile VSMC",2.5954145550103,"ACom_RR","Ruptured","contractile VSMC",32
"ARID2","ACom-RR--Ruptured--inflammatory VSMC",5.89747378248391,"ACom_RR","Ruptured","inflammatory VSMC",945
"ARID2","ACom-RR--Ruptured--metabolic-stress VSMC",4.13599596445361,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ARID2","MCA-R1--Ruptured--inflammatory VSMC",6.18431292595827,"MCA_R1","Ruptured","inflammatory VSMC",534
"ARID2","MCA-R2--Ruptured--contractile VSMC",4.24558846354319,"MCA_R2","Ruptured","contractile VSMC",182
"ARID2","MCA-R2--Ruptured--inflammatory VSMC",5.94154534324198,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ARID2","MCA-R2--Ruptured--metabolic-stress VSMC",4.6968956261894,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ARID2","MCA-R2--Ruptured--synthetic VSMC",3.89299778689531,"MCA_R2","Ruptured","synthetic VSMC",29
"ARID2","STA1--STA--ECM-remodeling VSMC",5.26364404602,"STA1","STA","ECM-remodeling VSMC",637
"ARID2","STA1--STA--contractile VSMC",4.38494083567308,"STA1","STA","contractile VSMC",1019
"ARID2","STA1--STA--inflammatory VSMC",5.69733556919624,"STA1","STA","inflammatory VSMC",148
"ARID2","STA1--STA--metabolic-stress VSMC",4.48950446901255,"STA1","STA","metabolic-stress VSMC",1432
"ARID2","STA1--STA--synthetic VSMC",4.33730609636624,"STA1","STA","synthetic VSMC",1049
"ARID2","STA2--STA--ECM-remodeling VSMC",4.73320546773406,"STA2","STA","ECM-remodeling VSMC",459
"ARID2","STA2--STA--contractile VSMC",4.01424708718816,"STA2","STA","contractile VSMC",989
"ARID2","STA2--STA--inflammatory VSMC",5.15847932552256,"STA2","STA","inflammatory VSMC",378
"ARID2","STA2--STA--metabolic-stress VSMC",4.11828967519911,"STA2","STA","metabolic-stress VSMC",943
"ARID2","STA2--STA--synthetic VSMC",4.06433295100515,"STA2","STA","synthetic VSMC",1620
"ARID2","STA3--STA--contractile VSMC",4.29080249985649,"STA3","STA","contractile VSMC",25
"ARID3A","ACom-RR--Ruptured--contractile VSMC",0.878950457534436,"ACom_RR","Ruptured","contractile VSMC",32
"ARID3A","ACom-RR--Ruptured--inflammatory VSMC",2.58396787559597,"ACom_RR","Ruptured","inflammatory VSMC",945
"ARID3A","ACom-RR--Ruptured--metabolic-stress VSMC",1.34232576882459,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ARID3A","MCA-R1--Ruptured--inflammatory VSMC",2.21972246806605,"MCA_R1","Ruptured","inflammatory VSMC",534
"ARID3A","MCA-R2--Ruptured--contractile VSMC",0.40695098280553,"MCA_R2","Ruptured","contractile VSMC",182
"ARID3A","MCA-R2--Ruptured--inflammatory VSMC",2.15396283292985,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ARID3A","MCA-R2--Ruptured--metabolic-stress VSMC",0.912749672340226,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ARID3A","MCA-R2--Ruptured--synthetic VSMC",0.331016373375032,"MCA_R2","Ruptured","synthetic VSMC",29
"ARID3A","STA1--STA--ECM-remodeling VSMC",-1.04621394941152,"STA1","STA","ECM-remodeling VSMC",637
"ARID3A","STA1--STA--contractile VSMC",-0.691115990719867,"STA1","STA","contractile VSMC",1019
