"regulon","status","vsmc_state","mean_AUC"
"ARID3A (28g)","Ruptured","contractile VSMC",0.0122309498887296
"ARID3A (28g)","Ruptured","synthetic VSMC",0.0117697622904751
"ARID3A (28g)","Ruptured","inflammatory VSMC",0.0504250559284116
"ARID3A (28g)","Ruptured","ECM-remodeling VSMC",0.0355345158197507
"ARID3A (28g)","Ruptured","metabolic-stress VSMC",0.016609850502468
"ARID3A (28g)","STA","contractile VSMC",0.00458612975391499
"ARID3A (28g)","STA","synthetic VSMC",0.00211888782358581
"ARID3A (28g)","STA","inflammatory VSMC",0.0422738894215404
"ARID3A (28g)","STA","ECM-remodeling VSMC",0.011653883029722
"ARID3A (28g)","STA","metabolic-stress VSMC",0.00267497603068073
"ARID3A_extended (37g)","Ruptured","contractile VSMC",0.0181112960929475
"ARID3A_extended (37g)","Ruptured","synthetic VSMC",0.0264412195446678
"ARID3A_extended (37g)","Ruptured","inflammatory VSMC",0.0412033462033462
"ARID3A_extended (37g)","Ruptured","ECM-remodeling VSMC",0.04501287001287
"ARID3A_extended (37g)","Ruptured","metabolic-stress VSMC",0.0301337051337051
"ARID3A_extended (37g)","STA","contractile VSMC",0.00417631917631918
"ARID3A_extended (37g)","STA","synthetic VSMC",0.00178507078507079
"ARID3A_extended (37g)","STA","inflammatory VSMC",0.0344890604890605
"ARID3A_extended (37g)","STA","ECM-remodeling VSMC",0.0105276705276705
"ARID3A_extended (37g)","STA","metabolic-stress VSMC",0.00236036036036036
"ARID5A (105g)","Ruptured","contractile VSMC",0.0170436974632418
"ARID5A (105g)","Ruptured","synthetic VSMC",0.0141418055017435
"ARID5A (105g)","Ruptured","inflammatory VSMC",0.15223442288049
"ARID5A (105g)","Ruptured","ECM-remodeling VSMC",0.0251000170241743
"ARID5A (105g)","Ruptured","metabolic-stress VSMC",0.0134372753754776
"ARID5A (105g)","STA","contractile VSMC",0.00283282260810351
"ARID5A (105g)","STA","synthetic VSMC",0.00182499148791284
"ARID5A (105g)","STA","inflammatory VSMC",0.115652877085461
"ARID5A (105g)","STA","ECM-remodeling VSMC",0.00640960163432074
"ARID5A (105g)","STA","metabolic-stress VSMC",0.00149557371467484
"ATF2_extended (72g)","Ruptured","contractile VSMC",0.0106839473811951
"ATF2_extended (72g)","Ruptured","synthetic VSMC",0.0108465608465608
"ATF2_extended (72g)","Ruptured","inflammatory VSMC",0.0246701940035273
"ATF2_extended (72g)","Ruptured","ECM-remodeling VSMC",0.016765873015873
"ATF2_extended (72g)","Ruptured","metabolic-stress VSMC",0.0163800705467372
"ATF2_extended (72g)","STA","contractile VSMC",0.00884744268077601
"ATF2_extended (72g)","STA","synthetic VSMC",0.0129964726631393
"ATF2_extended (72g)","STA","inflammatory VSMC",0.0199347442680776
"ATF2_extended (72g)","STA","ECM-remodeling VSMC",0.0137716049382716
"ATF2_extended (72g)","STA","metabolic-stress VSMC",0.00868518518518518
"ATF3 (40g)","Ruptured","contractile VSMC",0.0684741846916226
"ATF3 (40g)","Ruptured","synthetic VSMC",0.106670022652907
"ATF3 (40g)","Ruptured","inflammatory VSMC",0.0354549878345499
"ATF3 (40g)","Ruptured","ECM-remodeling VSMC",0.0852798053527981
"ATF3 (40g)","Ruptured","metabolic-stress VSMC",0.0579210597458773
"ATF3 (40g)","STA","contractile VSMC",0.0404537712895377
"ATF3 (40g)","STA","synthetic VSMC",0.0350717761557178
"ATF3 (40g)","STA","inflammatory VSMC",0.0200583941605839
"ATF3 (40g)","STA","ECM-remodeling VSMC",0.0386897810218978
"ATF3 (40g)","STA","metabolic-stress VSMC",0.0394464720194647
"ATF3_extended (488g)","Ruptured","contractile VSMC",0.31578632943183
"ATF3_extended (488g)","Ruptured","synthetic VSMC",0.339288859145504
"ATF3_extended (488g)","Ruptured","inflammatory VSMC",0.27913772557031
"ATF3_extended (488g)","Ruptured","ECM-remodeling VSMC",0.418103081375553
"ATF3_extended (488g)","Ruptured","metabolic-stress VSMC",0.306115934627171
"ATF3_extended (488g)","STA","contractile VSMC",0.2045582226762
"ATF3_extended (488g)","STA","synthetic VSMC",0.196354273067756
"ATF3_extended (488g)","STA","inflammatory VSMC",0.270083418454205
"ATF3_extended (488g)","STA","ECM-remodeling VSMC",0.205394109635683
"ATF3_extended (488g)","STA","metabolic-stress VSMC",0.20207950289411
"ATF4 (214g)","Ruptured","contractile VSMC",0.128688701258539
"ATF4 (214g)","Ruptured","synthetic VSMC",0.123199253284492
"ATF4 (214g)","Ruptured","inflammatory VSMC",0.123712121212121
"ATF4 (214g)","Ruptured","ECM-remodeling VSMC",0.122637895812053
"ATF4 (214g)","Ruptured","metabolic-stress VSMC",0.172956153293232
"ATF4 (214g)","STA","contractile VSMC",0.0891726251276813
"ATF4 (214g)","STA","synthetic VSMC",0.0904656111678584
"ATF4 (214g)","STA","inflammatory VSMC",0.121555158324821
"ATF4 (214g)","STA","ECM-remodeling VSMC",0.0738457609805924
