"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"AL627309.1",1,8,0,8,3,0
"AL627309.5",4,21,1,14,12,0
"LINC01409",57,28,14,365,60,1
"FAM87B",0,0,5,82,66,0
"LINC01128",102,56,57,657,265,3
"LINC00115",9,4,6,125,26,0
"FAM41C",4,8,7,11,71,2
"AL645608.6",1,0,2,6,6,0
"LINC02593",0,0,0,22,10,0
"SAMD11",4,0,13,798,65,0
"NOC2L",136,96,74,1262,406,4
"KLHL17",19,7,15,79,56,0
"PLEKHN1",4,10,10,9,1,0
"PERM1",0,0,0,0,2,0
"AL645608.7",1,0,1,25,8,0
"HES4",120,19,150,1343,639,19
"ISG15",427,448,423,1332,1071,14
"AL645608.1",2,1,0,6,1,0
"AGRN",14,1,12,40,64,2
"C1orf159",66,51,31,220,79,2
"AL390719.3",21,12,4,26,4,1
"LINC01342",4,1,0,2,0,0
"TTLL10",9,1,0,2,0,1
"TNFRSF18",155,142,174,22,22,0
"TNFRSF4",250,157,287,20,31,0
"SDF4",277,144,263,3688,2693,11
"B3GALT6",43,18,29,415,300,1
"C1QTNF12",2,3,4,8,10,0
"AL162741.1",4,0,2,0,1,0
"UBE2J2",156,145,80,1415,933,4
"LINC01786",0,1,0,4,8,1
"SCNN1D",5,1,5,13,30,0
"ACAP3",38,15,25,633,300,6
"PUSL1",45,25,26,812,325,1
"INTS11",94,49,67,1162,927,3
"CPTP",26,12,12,365,246,3
"TAS1R3",6,2,0,3,2,0
"DVL1",68,21,42,594,294,1
"MXRA8",53,2,251,13116,11730,23
"AURKAIP1",383,167,342,4413,2754,17
"CCNL2",248,162,288,2404,1730,13
"MRPL20-AS1",25,10,14,279,130,0
"MRPL20",423,266,424,5161,3723,17
"AL391244.2",2,2,0,15,1,0
"ANKRD65",1,0,10,386,391,1
"VWA1",18,1,51,404,355,3
"ATAD3C",9,1,3,11,1,0
"ATAD3B",71,32,44,205,102,3
"ATAD3A",57,28,25,309,119,2
"TMEM240",6,0,5,236,112,0
"SSU72",460,290,281,3485,2220,5
"AL645728.1",45,49,7,60,64,0
"FNDC10",5,2,2,156,62,1
"AL691432.4",1,0,0,5,12,0
"AL691432.2",20,5,8,101,59,0
"MIB2",78,50,66,536,464,6
"MMP23B",6,3,57,804,617,1
"CDK11B",267,259,169,1057,599,4
"FO704657.1",1,3,0,14,11,1
"SLC35E2B",106,81,61,566,342,4
"CDK11A",331,301,176,1005,358,5
"SLC35E2A",26,36,12,290,100,0
"NADK",77,31,54,1095,659,5
"GNB1",1618,1364,581,3041,1985,56
"AL109917.1",0,2,1,4,26,0
"CALML6",0,0,0,0,2,0
"TMEM52",2,1,0,7,12,0
"CFAP74",1,0,0,2,3,0
"AL391845.2",0,0,0,0,0,0
"GABRD",0,1,1,3,2,0
"PRKCZ",73,72,41,83,54,2
"AL590822.2",1,0,2,0,1,0
"PRKCZ-AS1",2,1,1,3,4,0
"FAAP20",155,60,105,1127,1393,9
"AL590822.1",4,1,0,16,37,2
"SKI",926,883,524,2260,1245,36
"AL590822.3",7,4,1,11,28,0
"MORN1",25,9,13,118,114,4
"AL513477.2",1,1,0,8,9,0
"RER1",322,229,357,4856,3024,12
"PEX10",40,17,25,299,242,3
"PLCH2",10,7,17,3,4,1
"PANK4",16,11,13,280,94,0
"HES5",1,0,1,22,1,0
"AL139246.5",32,15,42,16,56,3
"TNFRSF14-AS1",22,11,25,13,40,0
"TNFRSF14",186,121,88,1046,1204,12
"AL139246.3",12,4,2,6,3,0
"PRXL2B",11,9,9,57,41,2
"MMEL1",1,0,1,3,0,1
"TTC34",3,3,4,4,4,0
"PRDM16-DT",0,0,4,15,15,0
"PRDM16",7,0,36,70,78,5
"AL008733.1",0,0,0,0,0,0
"AL590438.1",0,0,1,0,0,0
"AL354743.2",0,0,2,1,24,0
"AL354743.1",0,0,0,9,9,0
"ARHGEF16",0,2,1,1,1,0
"MEGF6",36,31,37,721,591,10
"AL513320.1",6,0,0,19,10,0
"TPRG1L",118,36,45,845,584,7
"WRAP73",50,44,45,735,541,3
"TP73",1,0,0,3,0,0
"AL136528.1",0,0,0,0,0,0
"CCDC27",0,0,0,4,0,0
"SMIM1",13,3,2,74,179,1
"LRRC47",68,43,34,676,286,4
"CEP104",98,65,60,649,350,3
"DFFB",22,50,15,209,60,1
"C1orf174",93,44,34,660,318,2
"LINC01134",0,0,2,5,9,0
"LINC02780",1,0,0,1,1,0
