"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P2RY10",6.23466652969368,3.40050904996762,16.4009770495917,6.31435382505399e-08,0.000274112813037754,8.24633892545501
"LINC00861",4.68701022185222,4.04166344054768,16.1685954366023,7.13751188619002e-08,0.000274112813037754,8.57675496311637
"NEGR1",-6.47018857866758,5.85501502757941,-16.1060804026283,7.37881015740468e-08,0.000274112813037754,8.11175773770263
"CAMK4",6.03383645529145,6.14311444555547,15.6960457861335,9.20493582089948e-08,0.000274112813037754,8.412158869123
"CD6",5.6175852382868,4.70119184055098,15.6290867649895,9.5483075462503e-08,0.000274112813037754,8.35315845356477
"CNTN4",-6.9759695485524,4.3927157802124,-14.4942714245605,1.81819724729085e-07,0.000304590210672571,6.5290022440804
"TNFRSF25",5.67573541255525,3.08183351269445,14.3168732621996,2.01928040910867e-07,0.000304590210672571,7.36224565305487
"EMB",4.90285152797403,5.14508009749403,13.7741917012096,2.80457917153549e-07,0.000304590210672571,7.45744412115479
"AC016074.2",5.91099784085565,3.68603307595038,13.7436334361071,2.8579499518126e-07,0.000304590210672571,7.22734491491002
"RCAN3",4.34852708143893,4.97023930411856,13.604809815095,3.11500608108311e-07,0.000304590210672571,7.36693497555519
"GRAP2",4.00226006068144,3.46324188093906,13.364378980695,3.62306315084606e-07,0.000304590210672571,7.12361515169444
"CD96",4.50768147320456,5.81654536960387,13.3085115965557,3.75385530717248e-07,0.000304590210672571,7.19752069941683
"CHD7",3.4000132495725,4.48084090952953,13.2453075902551,3.90816708568551e-07,0.000304590210672571,7.15552704377725
"CARD11",4.86379482529845,4.4532278106664,13.0909429434647,4.31544380807067e-07,0.000304590210672571,7.04515708795415
"AL031772.1",4.46478664590642,4.15918507385006,12.9993535741677,4.57919342057248e-07,0.000304590210672571,6.98537143954111
"CD226",3.74320771001388,3.95497144989623,12.909743329537,4.85463027610039e-07,0.000304590210672571,6.93754062050833
"KCND2",-9.63859934691618,2.36940006238574,-12.8800634981865,4.94986463270114e-07,0.000304590210672571,4.84080915275306
"TCF7",4.26800863872278,5.35430848489519,12.715903759862,5.51544648269606e-07,0.000304590210672571,6.84821601381685
"METTL7A",-5.03251485626582,4.54065522209139,-12.6108176733679,5.91492021859083e-07,0.000304590210672571,6.31195775074936
"AC114760.2",5.82124381250656,3.40006451548269,12.5629657880707,6.10735657821993e-07,0.000304590210672571,6.58665076619963
"GATA3",4.92645497064216,4.16485640973789,12.5586856098652,6.12490428351406e-07,0.000304590210672571,6.71875534218823
"GPRIN3",4.84398050543849,5.229989910719,12.5401217643663,6.20166050910892e-07,0.000304590210672571,6.73500547281267
"CD247",5.30032235510697,5.93418438053205,12.5362020063628,6.21800343231147e-07,0.000304590210672571,6.72489680149644
"DEF6",4.10430059298135,3.34044277951333,12.5359777941032,6.21893969722092e-07,0.000304590210672571,6.62927334967391
"IL27RA",4.53395706707381,3.52893687399632,12.5003257167886,6.36982079202862e-07,0.000304590210672571,6.64128185899752
"INPP5D",5.12517588244679,4.6421609874375,12.4517700344878,6.58187017058964e-07,0.000304590210672571,6.66075771540311
"ARHGAP45",4.21910057936813,3.92765966186369,12.4402440154854,6.63334621748532e-07,0.000304590210672571,6.64590442342372
"CLEC2D",4.70119825034343,6.0450589192639,12.4007739107562,6.81302843347819e-07,0.000304590210672571,6.64536115236934
"RIPOR2",3.95121295105879,5.5986632444753,12.3954338536721,6.83774949229628e-07,0.000304590210672571,6.64666934937612
"ANK3",6.53256340003314,6.3298360147012,12.5846029493334,7.38596084050014e-07,0.000304590210672571,6.56144388550024
"AC058791.1",3.85676132325532,5.49758943629171,12.2050243439015,7.7875985872693e-07,0.000304590210672571,6.52719473528672
"FAAH2",6.85748694867143,4.72788687318278,12.5396170688478,7.8649893566329e-07,0.000304590210672571,6.41742198834672
"BICDL1",8.10933838289685,5.62848598641853,13.2651594600728,8.08804392931068e-07,0.000304590210672571,6.43845042446964
"TRAF1",4.32333827353832,4.90477458831746,12.1367221646647,8.16320289873821e-07,0.000304590210672571,6.47685639774654
"SYTL2",3.22260764576849,5.26947178135715,12.1273979417766,8.21601611654422e-07,0.000304590210672571,6.47737206005083
"PLAC8",5.52377197426791,3.31297284293495,12.1140558438892,8.29224594268103e-07,0.000304590210672571,6.29069642869017
"TNFAIP8",4.17721037397246,6.016343689322,12.0996915816007,8.37519218446651e-07,0.000304590210672571,6.45482078505271
"SLC16A3",4.30996966786383,4.44395733701433,12.0989983883786,8.37921818522921e-07,0.000304590210672571,6.44686487947547
"PTPN7",4.34738022893834,4.02223556071503,12.0847996706373,8.46215614767259e-07,0.000304590210672571,6.41897124002792
"OCIAD2",5.01049324208864,4.45264822363578,12.0116757943623,8.90393724013225e-07,0.000304590210672571,6.37787373068427
"VAV1",5.12610021531245,4.00234284174681,12.0086965670092,8.92246984389068e-07,0.000304590210672571,6.36994387729111
"PRKCQ-AS1",4.63860254194379,3.71528280037776,11.975970278569,9.12888202158401e-07,0.000304590210672571,6.30705713558722
"FXYD7",4.79829186047233,3.2880181773946,11.9406289544752,9.35774239332912e-07,0.000304590210672571,6.26170213247314
"LEF1",4.96015703197167,4.21394946058684,11.9279026976961,9.44170317416197e-07,0.000304590210672571,6.32334173894869
"CD3D",4.53203626949822,5.49055688502734,11.8294844477537,1.01198957702704e-06,0.000304590210672571,6.27188947258685
"DOCK10",4.43250786150352,6.16508596939259,11.8159275361777,1.02174686979262e-06,0.000304590210672571,6.26642031714471
"CD2",4.56077202715214,6.24568781355174,11.7624425153815,1.06126993168633e-06,0.000304590210672571,6.22880684978589
"CASP8",3.33442113064951,5.6112460923108,11.7365899516477,1.08097796645182e-06,0.000304590210672571,6.21706405805274
"ABCB1",3.61524182789286,3.7167303755641,11.7032810044182,1.10696968391058e-06,0.000304590210672571,6.15661756792897
"FYB1",4.31842510546976,5.66528234608354,11.7003841054298,1.10926268165946e-06,0.000304590210672571,6.18927526059389
