"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.3806605881754e-95,1.13481145679472,0.984,0.778,1.94450631424645e-90,"contractile VSMC","IGFBP7"
1.25541172882217e-81,1.10656511541056,0.991,0.859,3.82586724358557e-77,"contractile VSMC","MGP"
1.06820599896654e-72,1.66442317975491,0.687,0.344,3.25535778185054e-68,"contractile VSMC","RARRES2"
2.61492189422256e-61,0.813122046629732,0.908,0.708,7.96897447264327e-57,"contractile VSMC","SELENOM"
8.63821931185841e-55,0.770149046504914,0.952,0.739,2.63249733528885e-50,"contractile VSMC","IFITM3"
1.54472388430573e-52,1.2583686519249,0.547,0.25,4.7075460374217e-48,"contractile VSMC","C7"
6.28927455856169e-52,0.529409434839456,0.986,0.942,1.91665642172167e-47,"contractile VSMC","VIM"
2.2359010814143e-51,0.750806886929189,0.911,0.758,6.81390854561007e-47,"contractile VSMC","NME2"
2.59277963228722e-51,0.983197972141909,0.932,0.691,7.90149592939532e-47,"contractile VSMC","CFH"
8.2365270820138e-46,1.14821529022804,0.674,0.465,2.51008162824371e-41,"contractile VSMC","ADIRF"
4.81232701256354e-44,0.523885146275576,0.991,0.936,1.46655665707874e-39,"contractile VSMC","S100A6"
5.87422301623076e-43,0.552516278804546,0.986,0.975,1.79016946419632e-38,"contractile VSMC","FTL"
4.224226642724e-39,0.676013409216123,0.913,0.725,1.28733306937014e-34,"contractile VSMC","LGALS3"
2.53368323420374e-37,0.800308767353482,0.727,0.541,7.7213996562359e-33,"contractile VSMC","PTMS"
4.26739892126892e-37,0.711330999905689,0.904,0.738,1.3004898212567e-32,"contractile VSMC","CD81"
5.04041453937419e-37,1.65777273676514,0.498,0.26,1.53606633087428e-32,"contractile VSMC","BGN"
1.90810219331902e-36,1.64022268964134,0.341,0.155,5.8149414341397e-32,"contractile VSMC","A2M"
9.42066852167241e-36,0.598488498720813,0.833,0.711,2.87094873197967e-31,"contractile VSMC","RABAC1"
1.10129535880616e-35,0.586014029333396,0.891,0.715,3.35619760596178e-31,"contractile VSMC","GSTP1"
1.17731621243307e-35,0.71161272115903,0.864,0.648,3.58787115738977e-31,"contractile VSMC","SERPINF1"
4.15314450813863e-35,0.722229918893989,0.876,0.628,1.26567078885525e-30,"contractile VSMC","SPARCL1"
1.90174699306824e-34,0.841990209459349,0.765,0.591,5.79557396137547e-30,"contractile VSMC","CD9"
2.26749331143315e-34,0.548217557296808,0.961,0.892,6.91018586659251e-30,"contractile VSMC","SERF2"
2.10041706292243e-33,0.64474467042002,0.829,0.621,6.40102099925611e-29,"contractile VSMC","NUPR1"
4.11662311555188e-33,0.661803044162641,0.784,0.673,1.25454089446443e-28,"contractile VSMC","C12orf57"
6.10582346551054e-33,0.599235014896423,0.928,0.799,1.86074970111434e-28,"contractile VSMC","LGALS1"
2.37518612986419e-32,0.80575558561445,0.762,0.556,7.23837973076113e-28,"contractile VSMC","LUM"
2.41210617434367e-32,1.17474253406807,0.967,0.876,7.35089356631235e-28,"contractile VSMC","TIMP1"
2.45173724549602e-32,0.634701849348389,0.861,0.653,7.47166925564914e-28,"contractile VSMC","NNMT"
8.87100969119694e-32,1.1670435284145,0.956,0.885,2.70344020339227e-27,"contractile VSMC","MT2A"
1.18254294194129e-31,0.651737870154748,0.838,0.734,3.60379961556609e-27,"contractile VSMC","IFITM2"
1.28452183359152e-31,0.453867846453714,0.959,0.739,3.91458028787016e-27,"contractile VSMC","CST3"
3.04696685118861e-29,1.73010024104271,0.282,0.094,9.28563147899729e-25,"contractile VSMC","FMO2"
5.01001511091702e-29,0.559774142853335,0.953,0.816,1.52680210505196e-24,"contractile VSMC","CD63"
1.00306240093144e-28,0.958899113486235,0.62,0.423,3.05683266683855e-24,"contractile VSMC","TPM2"
6.84981370322925e-28,1.10852206989527,0.515,0.332,2.08748072605911e-23,"contractile VSMC","GGT5"
1.56619024105229e-27,0.696004631026428,0.885,0.707,4.77296475960685e-23,"contractile VSMC","CEBPD"
4.81870876672472e-27,0.530314010758376,0.865,0.75,1.46850149665936e-22,"contractile VSMC","GABARAP"
5.33080332365131e-27,1.0275344847538,0.58,0.408,1.62456231288274e-22,"contractile VSMC","SERPINA3"
8.00222755302889e-27,0.866282977818869,0.844,0.65,2.43867884678555e-22,"contractile VSMC","C11orf96"
1.2651587943641e-26,1.04066041625554,0.528,0.354,3.85557142582459e-22,"contractile VSMC","NR2F2"
1.94424267111233e-26,0.479623672303132,0.822,0.626,5.92507954021482e-22,"contractile VSMC","S100A13"
5.82967303830456e-26,0.591059653682544,0.9,0.779,1.77659285842332e-21,"contractile VSMC","PPIB"
1.58851589407122e-25,0.55124734156534,0.859,0.632,4.84100218718204e-21,"contractile VSMC","SOD3"
5.14721616030541e-25,0.531859130622486,0.894,0.662,1.56861412485307e-20,"contractile VSMC","C1R"
6.39986106557595e-25,0.626560170806281,0.786,0.59,1.95035765973427e-20,"contractile VSMC","IGFBP4"
8.97854148959091e-25,0.475367627051854,0.843,0.716,2.73621051895283e-20,"contractile VSMC","PEBP1"
2.45684391677733e-24,0.518344276067739,0.801,0.685,7.48723183637893e-20,"contractile VSMC","KRTCAP2"
2.00799129594028e-23,0.976042403398362,0.64,0.467,6.11935347437801e-19,"contractile VSMC","AKR1C1"
3.50667608973704e-23,0.483993703220136,0.899,0.663,1.06865953834736e-18,"contractile VSMC","SERPING1"
4.07688447133977e-23,0.457451760826936,0.92,0.828,1.24243054264079e-18,"contractile VSMC","SRP14"
5.37020508926728e-23,0.483883548142249,0.916,0.697,1.6365700009542e-18,"contractile VSMC","APOD"
9.78174983037047e-23,0.490231484212757,0.832,0.687,2.9809882608054e-18,"contractile VSMC","MGST3"
1.02006077363692e-22,0.511949429792787,0.92,0.698,3.10863520765852e-18,"contractile VSMC","CALD1"
1.05218814674462e-22,0.834844134623511,0.606,0.46,3.20654337720424e-18,"contractile VSMC","FUNDC2"
2.9081435938578e-22,0.573201895705544,0.791,0.601,8.86256760228165e-18,"contractile VSMC","EPHX1"
2.96398761674636e-22,0.697142025880291,0.691,0.543,9.03275226203454e-18,"contractile VSMC","CD302"
4.25793879583586e-22,0.687322864549309,0.667,0.527,1.29760684803098e-17,"contractile VSMC","PCOLCE"
4.46063422849776e-22,0.627742697306231,0.807,0.703,1.35937828113469e-17,"contractile VSMC","SEC61B"
5.59774242259928e-22,0.889006744031824,0.586,0.425,1.70591200328713e-17,"contractile VSMC","MYL9"
4.16071178926165e-21,0.690665077339932,0.676,0.506,1.26797691777749e-16,"contractile VSMC","CAV1"
4.21454038017658e-21,0.848084488580296,0.654,0.493,1.28438118085881e-16,"contractile VSMC","FXYD1"
6.12473238908347e-21,0.707856437468388,0.746,0.61,1.86651219557319e-16,"contractile VSMC","CD59"
6.23924243765477e-21,0.874184887466911,0.602,0.435,1.90140913287529e-16,"contractile VSMC","CRISPLD2"
2.18766478011523e-20,0.684117108839777,0.769,0.64,6.66690841740117e-16,"contractile VSMC","SELENOW"
2.47657856388685e-20,1.51316500710415,0.255,0.118,7.54737317344518e-16,"contractile VSMC","FXYD6"
3.05910465697383e-20,0.44267310713673,0.825,0.661,9.32262144212773e-16,"contractile VSMC","YBX3"
3.2392203847094e-20,0.731700398374236,0.703,0.55,9.8715241224019e-16,"contractile VSMC","NENF"
4.28739275937079e-20,0.533379820206265,0.789,0.686,1.30658294341825e-15,"contractile VSMC","TRMT112"
