"sample","stage","vsmc_state","cells","total_vsmc","proportion"
"ACom_RR","Ruptured_recurrent","contractile VSMC",32,1008,0.0317460317460317
"ACom_RR","Ruptured_recurrent","inflammatory VSMC",945,1008,0.9375
"ACom_RR","Ruptured_recurrent","ECM-remodeling VSMC",1,1008,0.000992063492063492
"ACom_RR","Ruptured_recurrent","metabolic-stress VSMC",30,1008,0.0297619047619048
"MCA_R1","Ruptured_de_novo","contractile VSMC",4,539,0.00742115027829314
"MCA_R1","Ruptured_de_novo","inflammatory VSMC",534,539,0.990723562152134
"MCA_R1","Ruptured_de_novo","metabolic-stress VSMC",1,539,0.00185528756957328
"MCA_R2","Ruptured_de_novo","contractile VSMC",182,1389,0.131029517638589
"MCA_R2","Ruptured_de_novo","synthetic VSMC",29,1389,0.0208783297336213
"MCA_R2","Ruptured_de_novo","inflammatory VSMC",1078,1389,0.776097912167027
"MCA_R2","Ruptured_de_novo","ECM-remodeling VSMC",23,1389,0.0165586753059755
"MCA_R2","Ruptured_de_novo","metabolic-stress VSMC",77,1389,0.0554355651547876
"PICA_U","Unruptured","inflammatory VSMC",6,6,1
"STA1","STA","contractile VSMC",1019,4285,0.237806301050175
"STA1","STA","synthetic VSMC",1049,4285,0.244807467911319
"STA1","STA","inflammatory VSMC",148,4285,0.0345390898483081
"STA1","STA","ECM-remodeling VSMC",637,4285,0.148658109684947
"STA1","STA","metabolic-stress VSMC",1432,4285,0.334189031505251
"STA2","STA","contractile VSMC",989,4389,0.225336067441331
"STA2","STA","synthetic VSMC",1620,4389,0.369104579630895
"STA2","STA","inflammatory VSMC",378,4389,0.0861244019138756
"STA2","STA","ECM-remodeling VSMC",459,4389,0.10457963089542
"STA2","STA","metabolic-stress VSMC",943,4389,0.214855320118478
"STA3","STA","contractile VSMC",25,55,0.454545454545455
"STA3","STA","synthetic VSMC",2,55,0.0363636363636364
"STA3","STA","inflammatory VSMC",4,55,0.0727272727272727
"STA3","STA","ECM-remodeling VSMC",7,55,0.127272727272727
"STA3","STA","metabolic-stress VSMC",17,55,0.309090909090909
